,fold,Top_n_feats,train,val,test,Ext,Ext_rm_sim_0_6,Ext_rm_sim_0_7,Ext_rm_sim_0_8,Ext_rm_sim_0_9
18,3,100,0.9791761414533978,0.8018031189083822,0.7956460674157304,0.6509231220084009,0.22222222222222224,0.4731578947368421,0.6097183098591549,0.6536332179930795
19,4,100,0.9796807284462886,0.8174415744157442,0.8383804091978996,0.6566702484451825,0.22222222222222224,0.48631578947368426,0.6167605633802817,0.6595155709342561
20,0,90,0.9841512658315074,0.8633356627067319,0.8567892156862743,0.6998958028068119,0.05555555555555558,0.5057894736842106,0.6634741784037559,0.697923875432526
21,1,90,0.9835545540539727,0.8808912427111752,0.7967892156862746,0.6839894500341896,0.22222222222222224,0.5126315789473684,0.6449295774647887,0.683044982698962
22,2,90,0.9785152920188022,0.8452404610492845,0.8952140452140454,0.6580866790400834,0.22222222222222224,0.48631578947368426,0.620093896713615,0.6612456747404845
23,3,90,0.9830912381766146,0.795224171539961,0.7956460674157304,0.6336817426980561,0.22222222222222224,0.4731578947368421,0.5885915492957746,0.6359861591695501
24,4,90,0.9855140617796221,0.8192865928659288,0.8324280282455186,0.6566702484451825,0.22222222222222224,0.4994736842105263,0.6167605633802817,0.6595155709342561
25,0,80,0.9864079877620209,0.8528767761472164,0.8537990196078431,0.7170557780599784,0.05555555555555558,0.5189473684210526,0.6838497652582161,0.7166089965397924
26,1,80,0.9862180143758321,0.8808912427111752,0.8034558823529412,0.6782423235974081,0.22222222222222224,0.5126315789473684,0.637887323943662,0.6771626297577855
27,2,80,0.9809823972819601,0.8470786963434023,0.8868686868686869,0.663833805476865,0.22222222222222224,0.4994736842105263,0.6271361502347418,0.6671280276816609
28,3,80,0.9864079877620209,0.795224171539961,0.7912687265917603,0.6336817426980561,0.22222222222222224,0.4731578947368421,0.5885915492957746,0.6359861591695501
29,4,80,0.990514061779622,0.8241082410824109,0.8383804091978996,0.6624173748819642,0.22222222222222224,0.4994736842105263,0.6238028169014085,0.6653979238754326
30,0,70,0.9858096406242104,0.857162823200559,0.8519607843137256,0.7271336003386408,0.05555555555555558,0.5452631578947369,0.6946009389671362,0.726643598615917
31,1,70,0.9862180143758321,0.8773070133204943,0.8034558823529412,0.6897365764709713,0.22222222222222224,0.5257894736842106,0.6519718309859155,0.6889273356401384
32,2,70,0.9809823972819601,0.8452404610492845,0.897065897065897,0.6753280583504282,0.22222222222222224,0.5257894736842106,0.6412206572769954,0.6788927335640138
33,3,70,0.9855788003656694,0.7933723196881091,0.7875234082397005,0.6394288691348377,0.22222222222222224,0.48631578947368426,0.5956338028169015,0.6418685121107266
34,4,70,0.9896807284462886,0.8259532595325954,0.8502851711026617,0.6911530070658721,0.22222222222222224,0.5389473684210526,0.6590140845070422,0.6948096885813149
35,0,60,0.9849804532278589,0.8491031912415561,0.8423039215686274,0.7457914102438866,0.05555555555555558,0.5715789473684211,0.7120187793427231,0.7460207612456747
36,1,60,0.9870283871473069,0.8716364414486706,0.7986274509803922,0.6854058806290906,0.22222222222222224,0.5257894736842106,0.6482629107981221,0.6847750865051903
37,2,60,0.9801600288609076,0.8335651828298888,0.8924242424242425,0.6753280583504282,0.22222222222222224,0.5257894736842106,0.6412206572769954,0.6788927335640138
38,3,60,0.9822620507802631,0.7933723196881091,0.7850187265917603,0.6408452997297385,0.22222222222222224,0.48631578947368426,0.5989671361502348,0.643598615916955
39,4,60,0.9863473951129552,0.8259532595325954,0.8424316494658701,0.6911530070658721,0.22222222222222224,0.5389473684210526,0.6590140845070422,0.6948096885813149
40,0,50,0.9824928910388042,0.8429303517353832,0.8471323529411765,0.7372114226173032,0.05555555555555558,0.5584210526315789,0.6983098591549295,0.7366782006920416
41,1,50,0.9845972688328825,0.8698443267533301,0.8101225490196078,0.6969001335026537,0.22222222222222224,0.5521052631578948,0.6623474178403757,0.6965397923875433
42,2,50,0.9760481867556443,0.8470786963434023,0.8924242424242425,0.708394386376217,0.22222222222222224,0.5521052631578948,0.6730985915492957,0.7124567474048443
43,3,50,0.9822620507802631,0.7933723196881091,0.7850187265917603,0.6509231220084009,0.22222222222222224,0.4994736842105263,0.6097183098591549,0.6536332179930795
44,4,50,0.9863473951129552,0.8259532595325954,0.8424316494658701,0.7141415128129986,0.22222222222222224,0.5652631578947368,0.694225352112676,0.7183391003460208
45,0,40,0.9841512658315074,0.8509899836943862,0.8452941176470589,0.7473706489531438,0.1111111111111111,0.6110526315789473,0.7098122065727699,0.7515570934256056
46,1,40,0.9870283871473069,0.8644679826673086,0.8082843137254903,0.7313828921233434,0.33333333333333337,0.6310526315789473,0.7116431924882629,0.7377162629757785
47,2,40,0.9766391808129764,0.8538354531001591,0.898917748917749,0.7040636905343363,0.2777777777777778,0.5652631578947368,0.6764319248826292,0.7083044982698963
48,3,40,0.9845187727107767,0.7999512670565302,0.7875234082397005,0.6509231220084009,0.22222222222222224,0.4994736842105263,0.6097183098591549,0.6536332179930795
49,4,40,0.987553019824804,0.8241082410824109,0.848384030418251,0.7256357656865617,0.33333333333333337,0.591578947368421,0.7012676056338027,0.7301038062283737
50,0,30,0.9769194195228842,0.8448171441882134,0.8452941176470589,0.7746898505421511,0.2222222222222222,0.6768421052631579,0.7416901408450705,0.7792387543252596
51,1,30,0.9803130629680732,0.8570052961001444,0.8082843137254903,0.7428771449969066,0.38888888888888884,0.6836842105263157,0.7257276995305164,0.7494809688581314
