threshold,topN,train_f1,train_f1_std,val_f1,val_f1_std,test_f1,test_f1_std,ext_f1,ext_f1_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.9,Top130,0.9974502317412092,0.0006177404160008,0.9974502317412092,0.0006177404160008,0.943049965629402,0.0086858080578394,0.926798715884283,0.0066647584230597,0.0,0.0,0.6229913940058868,0.048866603448478,0.8549603262208405,0.0138632713193315,0.9153662428120486,0.0083807470392882
0.9,Top70,0.9975417682937716,0.0009998434226088,0.9975417682937716,0.0009998434226088,0.9421512257507536,0.0097381329651309,0.926366235422348,0.0042825490524871,0.0,0.0,0.6239663950689837,0.0490038845473403,0.8492971174805961,0.0047446897429774,0.9143280517659044,0.0031097937061788
0.8,Top25,0.9922507600197952,0.0022460501779754,0.9922507600197952,0.0022460501779754,0.9434467369163912,0.0084962332348132,0.9261064740110824,0.007835155864939,0.1222222222222222,0.1138550085106622,0.6214630958074286,0.0365334429887495,0.8604730921001549,0.0136611661547472,0.914287661780308,0.0093432699296405
0.9,Top90,0.99772863956261,0.0006663530577149,0.99772863956261,0.0006663530577149,0.9397048942362596,0.0086740745078502,0.9255081856947956,0.0041573820644114,0.0,0.0,0.6116496828938492,0.0405863559803116,0.848691207452721,0.0064236640114426,0.9129910523168784,0.0041283561378021
0.9,Top10,0.992185401521871,0.0007088498288363,0.992185401521871,0.0007088498288363,0.9394738281843076,0.0099254038208948,0.9252778367106116,0.0175883810549309,0.0,0.0,0.6199533595456199,0.0665809700782344,0.840332906260987,0.0423463737072315,0.9121650455939416,0.0209841640925887
0.85,Top60,0.9976420178047232,0.0005030624250756,0.9976420178047232,0.0005030624250756,0.9392560670069494,0.0099009924731178,0.924091803401428,0.0062640114427455,0.0666666666666666,0.0912870929175276,0.6046203687991403,0.0520509262803018,0.8497536679724504,0.0116116670386508,0.9114814260233935,0.0074132288308339
0.7,Top10,0.9884521786029794,0.0089122665734058,0.9884521786029794,0.0089122665734058,0.9420208234970048,0.0067547599260952,0.92396960787977,0.0089403811659503,0.1133333333333333,0.1757523510195209,0.6509932251117292,0.0229912233112362,0.8524337167209117,0.0165612654463278,0.9118128700247328,0.0109928045987543
0.9,Top140,0.9974975326493184,0.000381888842824,0.9974975326493184,0.000381888842824,0.9415468696449316,0.0082706576947512,0.9236306581440784,0.0058386503684635,0.0,0.0,0.5981447451592379,0.0375869018437963,0.8471815564389656,0.0091370048998186,0.9112386416515144,0.0064718439924462
0.9,Top80,0.9973576909357582,0.0004822685531905,0.9973576909357582,0.0004822685531905,0.9417071496713152,0.0104384324105902,0.923605609463518,0.0041127221751298,0.0,0.0,0.6350335923667126,0.0348336243121674,0.8414039894898894,0.0079723694978642,0.9108266239279444,0.0043684690262834
0.85,Top80,0.9976364732038256,0.0006038443658058,0.9976364732038256,0.0006038443658058,0.9413475668134084,0.0081203912297231,0.9230536960975486,0.0033497053312873,0.0,0.0,0.596000096639366,0.0315593362354678,0.8450998563878654,0.007329303755178,0.9104330623296638,0.0038152181458779
0.85,Top90,0.9984712095627212,0.0010065254043481,0.9984712095627212,0.0010065254043481,0.9409793547486298,0.0095863300865222,0.9229892540349376,0.004572641512116,0.0,0.0,0.5776283971529418,0.0354722126736706,0.8487486528931572,0.0086476925033456,0.9108496745649042,0.0053505642244966
0.85,Top130,0.9981006878979466,0.0006022650555084,0.9981006878979466,0.0006022650555084,0.94166729981889,0.0092335404958753,0.9229017533860852,0.0075930789705677,0.0,0.0,0.59859988065239,0.0409177195462032,0.8495631482588767,0.0144120524452158,0.910785756781424,0.0087668236416222
0.85,Top100,0.9985653714803392,0.000661688095685,0.9985653714803392,0.000661688095685,0.9428053883772276,0.0096977563754815,0.9222959422310916,0.0044871375142264,0.0,0.0,0.5846167759409768,0.027470020190312,0.8477944649994216,0.0071686206944472,0.9094381879703114,0.005334190186998
