threshold,topN,train_NPV,train_NPV_std,val_NPV,val_NPV_std,test_NPV,test_NPV_std,ext_NPV,ext_NPV_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.2,Top130,0.999640933572711,0.0008028969398562718,0.999640933572711,0.0008028969398562718,0.937555474050981,0.04338705752188666,0.7222222222222222,0.2545875386086578,,,,,,,1.0,0.0
0.2,Top140,0.9996357012750454,0.0008145967131146856,0.9996357012750454,0.0008145967131146856,0.9440432161484793,0.04251874632641224,0.8541666666666666,0.17179606773406925,,,,,,,1.0,0.0
0.2,Top15,0.9963768115942028,,0.9963768115942028,,0.8727272727272727,,0.7419354838709677,,0.3333333333333333,,0.7368421052631579,,0.7241379310344828,,0.7419354838709677,
0.2,Top20,,,,,,,,,,,,,,,,
0.2,Top25,,,,,,,,,,,,,,,,
0.2,Top30,,,,,,,,,,,,,,,,
0.2,Top40,,,,,,,,,,,,,,,,
0.2,Top50,1.0,0.0,1.0,0.0,0.9571428571428572,0.060609152673132584,,,,,,,,,,
0.2,Top60,1.0,0.0,1.0,0.0,0.8666666666666667,0.04714045207910316,,,,,,,,,,
0.2,Top70,1.0,0.0,1.0,0.0,0.8030303030303031,0.0918511791892587,,,,,,,,,,
0.2,Top80,1.0,0.0,1.0,0.0,0.8111111111111111,0.13234588055079552,,,,,,,,,,
0.2,Top90,1.0,0.0,1.0,0.0,0.8661904761904762,0.15118953880474317,,,,,,,,,,
0.3,Top10,0.9988304093567252,0.0020257904182092354,0.9988304093567252,0.0020257904182092354,0.9025832555244321,0.043378026345366846,0.8177760157408631,0.075790663597828,0.6666666666666666,0.0,0.8331306374784636,0.06696841827176722,0.7855691056910569,0.07798762212581166,0.8177760157408631,0.075790663597828
0.3,Top100,0.999655172413793,0.0007710579232757678,0.999655172413793,0.0007710579232757678,0.9432309520544815,0.04069726838599655,0.7666666666666666,0.2516611478423583,,,,,,,1.0,0.0
0.3,Top120,0.9996638655462184,0.0007516194882352239,0.9996638655462184,0.0007516194882352239,0.9480133591898298,0.03825392061067556,0.9099999999999999,0.12449899597988735,,,,,,,1.0,0.0
0.3,Top130,0.9996638655462184,0.0007516194882352239,0.9996638655462184,0.0007516194882352239,0.9479086193576869,0.03943264600594027,0.9099999999999999,0.12449899597988735,,,,,,,1.0,0.0
0.3,Top140,0.9996598639455783,0.000760567339285611,0.9996598639455783,0.000760567339285611,0.9344757525083611,0.023628889690346568,0.9266666666666665,0.10110500592068734,,,,,1.0,,1.0,0.0
0.3,Top15,0.9947916666666666,,0.9947916666666666,,0.8688524590163934,,0.75,,0.5,,0.782608695652174,,0.7105263157894737,,0.75,
0.3,Top20,,,,,,,,,,,,,,,,
0.3,Top25,,,,,,,,,,,,,,,,
0.3,Top30,,,,,,,,,,,,,,,,
0.3,Top40,,,,,,,,,,,,,,,,
0.3,Top50,1.0,0.0,1.0,0.0,0.9399759903961584,0.0016977353689953119,1.0,0.0,,,,,1.0,,1.0,0.0
0.3,Top60,0.9991568296795953,0.0011924229025068046,0.9991568296795953,0.0011924229025068046,0.9495665878644601,0.01894533535093956,0.75,0.3535533905932738,,,,,1.0,,1.0,0.0
0.3,Top70,1.0,0.0,1.0,0.0,0.9391975308641975,0.016980919387011004,0.5833333333333333,0.11785113019775793,,,,,,,1.0,0.0
0.3,Top80,1.0,0.0,1.0,0.0,0.9466588693957115,0.03751889684447579,0.7916666666666666,0.25,,,,,,,1.0,0.0
0.3,Top90,1.0,0.0,1.0,0.0,0.9391190476190477,0.042138451478080236,0.75,0.28867513459481287,,,,,,,1.0,0.0
0.4,Top10,0.995450176636039,0.0035339965914413926,0.995450176636039,0.0035339965914413926,0.8736596736596737,0.010520544612024904,0.7549723450450879,0.044529536246280796,0.5972222222222222,0.08673608331108883,0.7602564102564102,0.035736820166067565,0.7279613328245547,0.05205374278493794,0.7628420961754294,0.05039624173381538
0.4,Top100,0.9996672212978369,0.0007441157995007163,0.9996672212978369,0.0007441157995007163,0.9314418043379146,0.013100652963673883,0.9166666666666666,0.11785113019775788,,,,,1.0,,1.0,0.0
0.4,Top120,0.999331096196868,0.0009159427920970103,0.999331096196868,0.0009159427920970103,0.9288705360397422,0.03193858343224115,0.9400000000000001,0.08944271909999155,,,,,1.0,0.0,1.0,0.0
0.4,Top130,0.9993316508280383,0.000915188101163565,0.9993316508280383,0.000915188101163565,0.9158595900632702,0.02260396316625414,0.9333333333333333,0.09128709291752764,,,,,1.0,0.0,1.0,0.0
0.4,Top140,0.9993288288288287,0.0009190734722528376,0.9993288288288287,0.0009190734722528376,0.9172473239510042,0.02434946682225187,0.9416666666666667,0.08122328620674134,,,,,1.0,0.0,1.0,0.0
0.4,Top15,0.9931740614334472,,0.9931740614334472,,0.873015873015873,,0.7307692307692307,,0.5,,0.7692307692307693,,0.7209302325581395,,0.7551020408163265,
0.4,Top20,,,,,,,,,,,,,,,,
