threshold,topN,train_NPV,train_NPV_std,val_NPV,val_NPV_std,test_NPV,test_NPV_std,ext_NPV,ext_NPV_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.85,Top20,0.9902239328693898,0.0029910938724293,0.9902239328693898,0.0029910938724293,0.8535208601277106,0.0315276874160549,0.8882558725847771,0.0353785080389472,0.6221428571428571,0.0895139938894518,0.8731829573934837,0.0306524846338523,0.870044457731936,0.0391865280066952,0.8912895388814844,0.0358685888918448
0.6,Top80,0.9993371882945368,0.0009076052848736,0.9993371882945368,0.0009076052848736,0.8976310783352988,0.0290025318129314,0.886721249764728,0.0856179353723489,0.125,0.25,0.3958333333333333,0.3289644245090836,0.8456349206349205,0.1456435705229334,0.900952380952381,0.0845254862342078
0.85,Top25,0.998985107911438,0.0009267338407827,0.998985107911438,0.0009267338407827,0.8805774787850259,0.0270352277392905,0.8807289296507627,0.0416810348875344,0.5619047619047619,0.1363602006026319,0.859288983327885,0.0358077405212716,0.8587258098886006,0.0470072538922743,0.8862781391798353,0.0427416182552267
0.4,Top70,0.9996677740863787,0.0007428797267441,0.9996677740863787,0.0007428797267441,0.92225135975136,0.0216777799119376,0.875,0.125,,,,,1.0,0.0,1.0,0.0
0.8,Top15,0.988004331837004,0.0143108241977533,0.988004331837004,0.0143108241977533,0.8907571141850564,0.0360026093576366,0.8707183124204401,0.1200602984610673,0.6025974025974026,0.1624790149389581,0.8607852965747703,0.0570628803694562,0.8545767374752883,0.121179963982468,0.872869352869353,0.115335002351256
0.7,Top90,0.9986725783685332,0.0007422897156424,0.9986725783685332,0.0007422897156424,0.8718969196216699,0.0364285078293157,0.8696457680250784,0.0352008368942143,0.2799999999999999,0.1591644851508443,0.5495238095238095,0.1592428228963269,0.8443421052631578,0.0434051007380826,0.8873737373737374,0.0296897705185431
0.4,Top90,0.9993349953842156,0.0009105955966149,0.9993349953842156,0.0009105955966149,0.9290718080918934,0.0288569284469748,0.8666666666666666,0.2173067468400882,,,,,1.0,,1.0,0.0
0.85,Top30,0.9979939813004904,0.0013903165443193,0.9979939813004904,0.0013903165443193,0.8621249825443374,0.0252019612111409,0.866617231824779,0.0368944480537,0.5371428571428571,0.0766651877999927,0.8252272727272727,0.046162106566367,0.8420656901006648,0.0383591405623169,0.8716533401239284,0.0361747748211631
0.6,Top130,0.9980058846640544,0.0013915456735126,0.9980058846640544,0.0013915456735126,0.8892641993651651,0.0223855195099309,0.8599811549333692,0.1051946010127127,0.0,0.0,0.7333333333333334,0.180534186769688,0.8283982683982684,0.1449206859278461,0.880560224089636,0.0955690410747062
0.7,Top70,0.9990163082883332,0.0014604191756655,0.9990163082883332,0.0014604191756655,0.8865729898516783,0.0551241471925658,0.8565367965367965,0.0508723400052067,0.3166666666666666,0.1086533734200441,0.525,0.0901387818865997,0.8098199385155906,0.0720043835522292,0.8650607457059071,0.0498701798439776
0.6,Top140,0.9983286293073504,0.0011946522382135,0.9983286293073504,0.0011946522382135,0.8850408519065235,0.0251779386051476,0.8563459152932836,0.1070706642491779,0.0,0.0,0.4777777777777778,0.4299009360478467,0.79896331738437,0.150066629992376,0.8670089126559715,0.0972252765893333
0.2,Top140,0.9996357012750454,0.0008145967131146,0.9996357012750454,0.0008145967131146,0.9440432161484792,0.0425187463264122,0.8541666666666666,0.1717960677340692,,,,,,,1.0,0.0
0.8,Top50,0.9951597269268851,0.0083808917334664,0.9951597269268851,0.0083808917334664,0.8729759636424597,0.0397138043598149,0.8521503247159135,0.0650971549329207,0.4819047619047619,0.1361271914236753,0.709469696969697,0.2126599624797138,0.8246997446997447,0.0744096057479497,0.8629958325858004,0.0671269631339097
0.85,Top50,0.9919236674731318,0.0091323334716878,0.9919236674731318,0.0091323334716878,0.8531865993595446,0.0498223536499532,0.8503001988859629,0.0680424068362067,0.5726190476190476,0.1393670905954597,0.785897435897436,0.1608546526017893,0.8231275790432283,0.0753602680564764,0.8572922266146928,0.0665067064410086
0.5,Top15,0.9979763912310288,0.0045249267672846,0.9979763912310288,0.0045249267672846,0.975,0.0559016994374947,0.8492063492063492,0.2132544260721334,0.625,,0.8,,0.8396226415094339,0.2268078354749303,0.8583333333333334,0.2003469213361885
0.8,Top60,0.994487601120838,0.0088569551977618,0.994487601120838,0.0088569551977618,0.8766236127057023,0.0359060244080903,0.848152613669855,0.0671324865305398,0.3942857142857142,0.1031477376499985,0.6384210526315789,0.1931900796998362,0.8114827003062297,0.0710204751240621,0.8584463502496289,0.0674798631081789
0.85,Top15,0.9765233704703918,0.010091679944198,0.9765233704703918,0.010091679944198,0.8455093379469716,0.0345037118258521,0.8427406883545497,0.1140076862571432,0.6733116883116883,0.0570340980942174,0.8717701863354037,0.0568289935192677,0.8294271988174428,0.1154210068544423,0.8478824984539269,0.1112706258076189
0.5,Top60,0.9996677740863787,0.0007428797267441,0.9996677740863787,0.0007428797267441,0.9639007092198584,0.0528430668945985,0.8375,0.1515544456622768,0.0,0.0,0.3,0.4242640687119285,0.6590909090909092,0.2249885212866288,0.8523809523809524,0.1500566786341784
0.85,Top60,0.99217694804596,0.0083841872493535,0.99217694804596,0.0083841872493535,0.8372164033995324,0.0236526215407705,0.8370693461789351,0.0841135501796437,0.4726190476190476,0.1346606973149944,0.7635520361990951,0.10366184019923,0.8054030501089324,0.0896319438188031,0.8443132468484581,0.0823274798426108
0.6,Top10,0.991373333030152,0.0087545758065398,0.991373333030152,0.0087545758065398,0.9011712075665864,0.0727985758344555,0.8349814520402756,0.1563242459461662,0.7833333333333333,0.1985188208261933,0.86619644723093,0.12327270387132,0.8166666666666667,0.172251478752656,0.8388542963885429,0.15330473867035
0.7,Top130,0.9957122488879177,0.0024788185313616,0.9957122488879177,0.0024788185313616,0.8618422993196759,0.0471264417636329,0.8315195557131041,0.0315180994259272,0.1166666666666666,0.1624465724134827,0.5983116883116883,0.3360600093790726,0.8041558441558442,0.0586765446592873,0.8600795755968169,0.0452383403464007
0.7,Top120,0.9970228418180014,0.0024416704368889,0.9970228418180014,0.0024416704368889,0.8693213493582649,0.0341008105627048,0.8314422832069891,0.0458305391394497,0.25,0.2763853991962833,0.6409523809523809,0.2015135473127474,0.7908322305414781,0.05628743125192,0.8459205468788011,0.0461089794553341
0.8,Top90,0.9950995543930744,0.0056127857075101,0.9950995543930744,0.0056127857075101,0.8418226519184293,0.0173928760007881,0.8310632133124753,0.0298763560955219,0.38,0.1254990039801113,0.6292857142857142,0.1578393655148247,0.7983265383973488,0.0439093218697657,0.8461229044657891,0.0369493342043532
0.9,Top25,0.9871365129393967,0.0043663751991527,0.9871365129393967,0.0043663751991527,0.8144355208744744,0.0249033968749576,0.827747182188569,0.0715651869678928,0.6459523809523808,0.0494269886892207,0.8692456801902079,0.0114064965173185,0.8005859825739516,0.0800814989617957,0.8308855891003841,0.0721423659238222
0.85,Top100,0.9918089174965952,0.0034767541929736,0.9918089174965952,0.0034767541929736,0.8347553143374039,0.0312532315373504,0.8277288243232516,0.0234065385685334,0.4728571428571428,0.1450193512773311,0.7393831168831169,0.0994012741318672,0.7955931374971855,0.0225072484174854,0.8399595513881228,0.0268868996797823
0.9,Top40,0.9950471809619044,0.0011434276761073,0.9950471809619044,0.0011434276761073,0.8297960947997339,0.0200952947707339,0.8251020531843791,0.0359521889233528,0.5678571428571428,0.044463927135674,0.8480128652251414,0.019541458754563,0.7927888563468078,0.0389332218030617,0.8284418881007065,0.0345599477823964
0.8,Top70,0.9957637731297352,0.0043701712961067,0.9957637731297352,0.0043701712961067,0.8580263368445398,0.0278626791190354,0.8231421362771478,0.0685953712502918,0.3909523809523809,0.1182401185029123,0.6439915966386554,0.1242280378783276,0.7777240490006447,0.0724694131369052,0.830979020979021,0.0618304904297692
0.8,Top100,0.9967121886766142,0.0020055179109578,0.9967121886766142,0.0020055179109578,0.8491363521772313,0.0417005584837586,0.8178823953823955,0.0217004895945675,0.36,0.108397416943394,0.6759307359307358,0.1075932202503183,0.7805046583850931,0.0335162008845507,0.8331574490261222,0.0291033510871482
0.3,Top10,0.9988304093567252,0.0020257904182092,0.9988304093567252,0.0020257904182092,0.902583255524432,0.0433780263453668,0.8177760157408631,0.075790663597828,0.6666666666666666,0.0,0.8331306374784636,0.0669684182717672,0.7855691056910569,0.0779876221258116,0.8177760157408631,0.075790663597828
0.4,Top60,0.9991694352159468,0.0011745959820375,0.9991694352159468,0.0011745959820375,0.9095607235142118,0.0292343888862654,0.8166666666666667,0.0235702260395515,0.0,,0.0,,0.8333333333333333,0.2357022603955158,0.9,0.1414213562373094
0.7,Top140,0.997016268770501,0.0013881314065167,0.997016268770501,0.0013881314065167,0.8679541393890101,0.0352050984100682,0.8142197274166584,0.0323719871521269,0.25,0.1666666666666666,0.5722222222222222,0.4004241578287197,0.7754126984126983,0.0602973650736071,0.8421764638869902,0.0499668048825494
0.5,Top50,0.9993371955739822,0.0009075870106706,0.9993371955739822,0.0009075870106706,0.959641577060932,0.0559114510962654,0.8125,0.0,0.0,0.0,0.25,0.3535533905932738,0.75,0.0,0.8348214285714286,0.0315672670172565
0.7,Top80,0.9980125042732608,0.0013788749621968,0.9980125042732608,0.0013788749621968,0.8766322083713389,0.0423998189810883,0.8117429193899781,0.0091374793094269,0.2799999999999999,0.0670820393249937,0.5435714285714285,0.172363521875916,0.7595919145690313,0.0259117463979219,0.8193818082788671,0.0160341879525733
0.7,Top10,0.9872345618097944,0.0128447132163528,0.9872345618097944,0.0128447132163528,0.8808269411212761,0.05745558080095,0.8101963394864005,0.1331798061229041,0.6221212121212121,0.1775617625574203,0.8315072023895553,0.0752579876978364,0.792265069864734,0.1355491042440882,0.8174298947596428,0.1280664636456832
