threshold,topN,train_SE,train_SE_std,val_SE,val_SE_std,test_SE,test_SE_std,ext_SE,ext_SE_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.2,Top140,0.999907063197026,0.0002078130090613,0.999907063197026,0.0002078130090613,0.9925552324858968,0.0052823864341551,0.9988668555240792,0.0015516219759352,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.3,Top90,1.0,0.0,1.0,0.0,0.9925300703297796,0.0059865938017169,0.9988668555240792,0.0015516219759352,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.2,Top130,0.999907063197026,0.0002078130090613,0.999907063197026,0.0002078130090613,0.9917947762121326,0.0061909240155061,0.9988668555240792,0.0015516219759352,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.3,Top100,0.999907063197026,0.0002078130090613,0.999907063197026,0.0002078130090613,0.9917947762121326,0.0061909240155061,0.9988668555240792,0.0015516219759352,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.3,Top120,0.999907063197026,0.0002078130090613,0.999907063197026,0.0002078130090613,0.9910594820944856,0.0067987020363633,0.9988668555240792,0.0015516219759352,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.3,Top130,0.999907063197026,0.0002078130090613,0.999907063197026,0.0002078130090613,0.9910594820944856,0.0067987020363633,0.9988668555240792,0.0015516219759352,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.3,Top140,0.999907063197026,0.0002078130090613,0.999907063197026,0.0002078130090613,0.988814668032662,0.0054003560421277,0.9988668555240792,0.0015516219759352,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.4,Top100,0.999907063197026,0.0002078130090613,0.999907063197026,0.0002078130090613,0.9888122910832496,0.0027798600531902,0.9988668555240792,0.0015516219759352,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.4,Top90,0.9998145134515376,0.0002539888383974,0.9998145134515376,0.0002539888383974,0.9880881962018512,0.0071664214739154,0.9988668555240792,0.0015516219759352,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.4,Top80,0.999907063197026,0.0002078130090613,0.999907063197026,0.0002078130090613,0.9880739272919214,0.0062071008989496,0.9988668555240792,0.0015516219759352,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.4,Top120,0.9998145134515376,0.0002539888383974,0.9998145134515376,0.0002539888383974,0.9865727302774164,0.0078469447281059,0.9988668555240792,0.0015516219759352,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.4,Top130,0.9998145134515376,0.0002539888383974,0.9998145134515376,0.0002539888383974,0.9843476317486166,0.0067699503113578,0.9988668555240792,0.0015516219759352,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.4,Top140,0.9998145134515376,0.0002539888383974,0.9998145134515376,0.0002539888383974,0.9843476317486166,0.0067699503113578,0.9988668555240792,0.0015516219759352,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
