threshold,topN,train_FN,train_FN_std,val_FN,val_FN_std,test_FN,test_FN_std,ext_FN,ext_FN_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.9,Top40,3.0,0.7071067811865476,3.0,0.7071067811865476,12.2,1.4832396974191329,11.0,2.8284271247461903,3.0,0.0,3.0,0.0,10.6,2.6076809620810595,10.6,2.6076809620810595
0.85,Top70,5.8,4.494441010848846,5.8,4.494441010848846,12.8,2.280350850198276,10.4,4.505552130427524,3.0,0.0,3.0,0.0,9.8,4.08656334834051,9.8,4.08656334834051
0.85,Top140,7.0,3.1622776601683795,7.0,3.1622776601683795,11.6,2.6076809620810595,10.0,2.449489742783178,3.0,0.0,3.0,0.0,9.0,2.449489742783178,9.0,2.449489742783178
0.8,Top80,4.0,2.549509756796392,4.0,2.549509756796392,10.6,2.0736441353327724,10.0,1.5811388300841898,3.0,0.0,3.0,0.0,9.2,1.3038404810405295,9.2,1.3038404810405295
0.5,Top10,2.4,2.8809720581775866,2.4,2.8809720581775866,5.2,4.816637831516919,10.0,10.024968827881713,1.8,1.6431676725154984,4.2,3.898717737923585,9.2,9.257429448826494,9.2,9.257429448826494
0.85,Top130,7.4,2.701851217221259,7.4,2.701851217221259,12.0,3.24037034920393,9.8,1.9235384061671343,3.0,0.0,3.0,0.0,8.6,1.8165902124584947,8.6,1.8165902124584947
0.85,Top120,5.6,3.286335345030997,5.6,3.286335345030997,11.6,3.5777087639996634,9.8,2.5884358211089573,3.0,0.0,3.0,0.0,8.8,2.5884358211089573,8.8,2.5884358211089573
0.85,Top90,5.4,4.159326868617084,5.4,4.159326868617084,12.2,2.387467277262665,9.2,2.280350850198276,3.0,0.0,3.0,0.0,8.2,2.280350850198276,8.2,2.280350850198276
0.8,Top15,7.2,9.011104260855047,7.2,9.011104260855047,7.0,3.5355339059327378,9.2,12.833549781724464,2.4,0.5477225575051661,3.6,3.049590136395381,8.6,11.502173707608488,8.8,11.94571052721436
0.85,Top60,4.8,5.215361924162119,4.8,5.215361924162119,11.0,2.9154759474226504,8.8,6.723094525588644,2.6,0.5477225575051661,2.6,0.5477225575051661,8.2,6.340346993658944,8.2,6.340346993658944
0.8,Top140,3.8,1.7888543819998317,3.8,1.7888543819998317,11.4,2.8809720581775866,8.0,2.0,2.8,0.447213595499958,2.8,0.447213595499958,7.2,1.9235384061671343,7.2,1.9235384061671343
0.8,Top120,3.6,2.701851217221259,3.6,2.701851217221259,11.0,3.6742346141747673,8.0,1.4142135623730951,3.0,0.0,3.0,0.0,7.2,1.3038404810405295,7.2,1.3038404810405295
0.85,Top50,5.0,5.70087712549569,5.0,5.70087712549569,9.8,4.08656334834051,8.0,5.5677643628300215,2.4,0.5477225575051661,2.4,0.5477225575051661,7.4,5.176871642217914,7.4,5.176871642217914
0.85,Top100,5.0,2.1213203435596424,5.0,2.1213203435596424,11.6,2.3021728866442674,7.8,2.683281572999748,3.0,0.0,3.0,0.0,7.0,2.549509756796392,7.0,2.549509756796392
0.8,Top130,4.6,3.286335345030997,4.6,3.286335345030997,11.2,3.114482300479488,7.8,2.16794833886788,2.8,0.4472135954999579,2.8,0.4472135954999579,7.0,2.0,7.0,2.0
0.4,Top10,1.6,2.073644135332772,1.6,2.073644135332772,4.4,4.159326868617084,7.6,7.536577472566709,1.4,1.3416407864998738,3.6,3.361547262794322,7.2,7.259476565152615,7.2,7.259476565152615
0.8,Top70,2.6,2.701851217221259,2.6,2.701851217221259,9.2,1.9235384061671343,7.4,4.449719092257398,2.8,0.4472135954999579,2.8,0.4472135954999579,6.8,3.96232255123179,6.8,3.96232255123179
0.85,Top30,1.2,0.8366600265340756,1.2,0.8366600265340756,9.0,2.549509756796392,7.2,3.03315017762062,3.0,0.0,3.0,0.0,6.8,2.774887385102321,6.8,2.774887385102321
0.8,Top90,3.0,3.464101615137755,3.0,3.464101615137755,10.4,1.3416407864998738,6.8,1.7888543819998317,3.0,0.0,3.0,0.0,6.0,1.8708286933869709,6.0,1.8708286933869709
0.8,Top100,2.0,1.224744871391589,2.0,1.224744871391589,9.8,2.8635642126552705,6.6,0.8944271909999159,3.0,0.0,3.0,0.0,5.8,0.8366600265340756,5.8,0.8366600265340756
0.85,Top20,5.8,1.7888543819998317,5.8,1.7888543819998317,10.0,3.605551275463989,6.4,3.286335345030997,2.8,0.4472135954999578,2.8,0.4472135954999578,6.2,3.3466401061363023,6.2,3.3466401061363023
0.8,Top50,3.0,5.196152422706632,3.0,5.196152422706632,7.8,3.1144823004794877,6.4,5.029910535983717,2.4,0.5477225575051661,2.4,0.5477225575051661,5.8,4.711687595755898,5.8,4.711687595755898
0.8,Top60,3.4,5.504543577809154,3.4,5.504543577809154,7.8,3.271085446759225,6.4,5.319774431308154,2.4,0.5477225575051661,2.4,0.5477225575051661,5.8,4.969909455915671,5.8,4.969909455915671
0.85,Top25,0.6,0.5477225575051661,0.6,0.5477225575051661,7.8,2.8635642126552705,6.2,3.492849839314596,2.4,0.5477225575051661,2.4,0.5477225575051661,5.8,3.271085446759225,5.8,3.271085446759225
0.7,Top15,3.2,7.155417527999328,3.2,7.155417527999328,4.2,3.898717737923585,6.2,11.670475568716128,1.2,1.3038404810405295,2.0,2.9154759474226504,5.6,10.334408546211051,5.8,10.779610382569492
0.7,Top80,1.2,0.8366600265340756,1.2,0.8366600265340756,7.4,2.792848008753788,5.6,0.8944271909999159,3.0,0.0,3.0,0.0,5.2,0.4472135954999578,5.2,0.4472135954999578
0.85,Top40,0.8,0.4472135954999579,0.8,0.4472135954999579,8.0,2.345207879911715,5.0,2.345207879911715,2.4,0.5477225575051661,2.4,0.5477225575051661,4.6,2.073644135332772,4.6,2.073644135332772
0.3,Top10,0.4,0.894427190999916,0.4,0.894427190999916,3.2,3.63318042491699,4.6,5.458937625582473,1.0,1.0,2.2,2.588435821108957,4.6,5.458937625582473,4.6,5.458937625582473
0.6,Top15,2.0,4.472135954999579,2.0,4.472135954999579,3.2,4.43846820423443,4.6,10.285912696499032,0.6,1.3416407864998738,1.4,3.130495168499705,4.2,9.391485505499118,4.2,9.391485505499118
0.7,Top120,1.8,1.4832396974191326,1.8,1.4832396974191326,8.0,2.6457513110645907,4.4,1.51657508881031,2.0,1.0,2.0,1.0,3.8,1.3038404810405295,3.8,1.3038404810405295
0.7,Top140,1.8,0.8366600265340756,1.8,0.8366600265340756,8.0,2.1213203435596424,4.4,1.816590212458495,1.4,0.894427190999916,1.4,0.894427190999916,3.6,1.8165902124584947,3.6,1.8165902124584947
0.8,Top30,0.2,0.447213595499958,0.2,0.447213595499958,6.0,2.449489742783178,4.4,2.6076809620810595,2.4,0.5477225575051661,2.4,0.5477225575051661,4.2,2.7748873851023217,4.2,2.7748873851023217
0.7,Top130,2.6,1.51657508881031,2.6,1.51657508881031,8.6,3.435112807463533,4.2,1.4832396974191326,1.8,0.8366600265340756,1.8,0.8366600265340756,3.4,1.51657508881031,3.4,1.51657508881031
0.8,Top20,0.6,0.8944271909999159,0.6,0.8944271909999159,5.6,1.816590212458495,3.8,2.4899799195977463,2.4,0.5477225575051661,2.4,0.5477225575051661,3.6,2.6076809620810595,3.6,2.6076809620810595
0.8,Top25,0.2,0.447213595499958,0.2,0.447213595499958,5.4,2.073644135332772,3.8,2.4899799195977463,2.4,0.5477225575051661,2.4,0.5477225575051661,3.6,2.6076809620810595,3.6,2.6076809620810595
0.5,Top15,1.2,2.683281572999748,1.2,2.683281572999748,1.6,3.577708763999664,3.8,8.497058314499201,0.6,1.3416407864998738,1.2,2.683281572999748,3.4,7.602631123499285,3.4,7.602631123499285
0.7,Top70,0.6,0.8944271909999159,0.6,0.8944271909999159,6.6,3.361547262794322,3.6,2.3021728866442674,2.4,0.8944271909999159,2.4,0.8944271909999159,3.2,1.9235384061671343,3.2,1.9235384061671343
0.7,Top90,0.8,0.4472135954999579,0.8,0.4472135954999579,7.6,2.5099800796022267,3.4,1.140175425099138,2.4,0.5477225575051661,2.4,0.5477225575051661,2.8,0.8366600265340756,2.8,0.8366600265340756
0.7,Top50,1.6,3.049590136395381,1.6,3.049590136395381,4.8,4.08656334834051,3.4,4.277849927241488,1.4,1.51657508881031,1.4,1.51657508881031,3.0,3.741657386773941,3.0,3.741657386773941
0.2,Top10,0.4,0.894427190999916,0.4,0.894427190999916,2.8,3.420526275297414,3.4,4.774934554525329,0.6,0.8944271909999159,1.8,2.4899799195977463,3.4,4.774934554525329,3.4,4.774934554525329
0.7,Top60,1.2,2.683281572999748,1.2,2.683281572999748,4.0,2.7386127875258306,3.0,3.741657386773941,1.4,1.51657508881031,1.4,1.51657508881031,2.6,3.2093613071762426,2.6,3.2093613071762426
0.6,Top140,1.0,0.7071067811865476,1.0,0.7071067811865476,6.6,1.6733200530681511,2.8,2.7748873851023217,1.0,1.0,1.0,1.0,2.4,2.3021728866442674,2.4,2.3021728866442674
0.4,Top15,0.8,1.788854381999832,0.8,1.788854381999832,1.6,3.577708763999664,2.8,6.260990336999411,0.6,1.3416407864998738,1.2,2.683281572999748,2.4,5.366563145999495,2.4,5.366563145999495
0.7,Top100,1.2,0.8366600265340756,1.2,0.8366600265340756,7.4,1.816590212458495,2.6,1.6733200530681511,1.2,1.095445115010332,1.2,1.095445115010332,2.0,1.4142135623730951,2.0,1.4142135623730951
0.6,Top130,1.2,0.8366600265340756,1.2,0.8366600265340756,6.4,2.073644135332772,2.6,1.816590212458495,1.2,1.095445115010332,1.2,1.095445115010332,2.0,1.4142135623730951,2.0,1.4142135623730951
0.8,Top40,0.2,0.447213595499958,0.2,0.447213595499958,6.4,2.5099800796022267,2.6,0.5477225575051662,2.2,0.4472135954999579,2.2,0.4472135954999579,2.4,0.5477225575051661,2.4,0.5477225575051661
0.6,Top50,0.4,0.5477225575051661,0.4,0.5477225575051661,3.2,3.96232255123179,2.2,3.03315017762062,1.0,1.4142135623730951,1.0,1.4142135623730951,2.0,2.8284271247461903,2.0,2.8284271247461903
0.3,Top15,0.6,1.3416407864998738,0.6,1.3416407864998738,1.6,3.577708763999664,2.2,4.919349550499537,0.4,0.894427190999916,1.0,2.2360679774997894,2.2,4.919349550499537,2.2,4.919349550499537
0.6,Top80,0.4,0.5477225575051661,0.4,0.5477225575051661,5.6,2.0736441353327724,2.0,1.5811388300841898,1.6,1.3416407864998738,1.6,1.3416407864998738,1.6,1.3416407864998738,1.6,1.3416407864998738
0.6,Top70,0.4,0.5477225575051661,0.4,0.5477225575051661,4.0,2.549509756796392,2.0,1.8708286933869709,1.6,1.51657508881031,1.6,1.51657508881031,1.6,1.51657508881031,1.6,1.51657508881031
0.2,Top15,0.4,0.894427190999916,0.4,0.894427190999916,1.4,3.130495168499705,1.6,3.577708763999664,0.4,0.894427190999916,1.0,2.2360679774997894,1.6,3.577708763999664,1.6,3.577708763999664
0.6,Top60,0.2,0.447213595499958,0.2,0.447213595499958,2.8,3.271085446759225,1.4,1.949358868961793,1.0,1.4142135623730951,1.0,1.4142135623730951,1.2,1.7888543819998317,1.2,1.7888543819998317
0.6,Top90,0.4,0.5477225575051661,0.4,0.5477225575051661,5.6,2.073644135332772,1.2,0.8366600265340756,0.8,0.8366600265340756,0.8,0.8366600265340756,0.8,0.8366600265340756,0.8,0.8366600265340756
0.5,Top50,0.4,0.5477225575051661,0.4,0.5477225575051661,2.2,3.1937438845342623,1.2,1.6431676725154984,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951
0.5,Top60,0.2,0.447213595499958,0.2,0.447213595499958,2.0,3.082207001484488,1.2,1.6431676725154984,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951
0.6,Top120,0.8,0.4472135954999579,0.8,0.4472135954999579,6.4,1.8165902124584952,1.0,1.224744871391589,0.0,0.0,0.0,0.0,0.4,0.894427190999916,0.4,0.894427190999916
0.7,Top20,0.0,0.0,0.0,0.0,2.6,1.3416407864998738,1.0,0.7071067811865476,0.8,0.4472135954999579,0.8,0.4472135954999579,1.0,0.7071067811865476,1.0,0.7071067811865476
0.4,Top50,0.2,0.447213595499958,0.2,0.447213595499958,1.6,2.3021728866442674,1.0,1.4142135623730951,0.8,1.3038404810405295,0.8,1.3038404810405295,0.8,1.3038404810405295,0.8,1.3038404810405295
0.1,Top10,0.2,0.447213595499958,0.2,0.447213595499958,0.8,1.3038404810405295,1.0,2.2360679774997894,0.4,0.894427190999916,0.8,1.788854381999832,1.0,2.2360679774997894,1.0,2.2360679774997894
0.5,Top130,0.4,0.5477225575051661,0.4,0.5477225575051661,5.2,1.7888543819998317,0.6,0.5477225575051661,0.2,0.4472135954999579,0.2,0.4472135954999579,0.2,0.4472135954999579,0.2,0.4472135954999579
0.6,Top100,0.8,0.8366600265340756,0.8,0.8366600265340756,5.2,1.4832396974191326,0.6,0.5477225575051661,0.2,0.4472135954999579,0.2,0.4472135954999579,0.2,0.4472135954999579,0.2,0.4472135954999579
0.5,Top80,0.4,0.5477225575051661,0.4,0.5477225575051661,4.6,1.6733200530681511,0.6,0.5477225575051661,0.2,0.4472135954999579,0.2,0.4472135954999579,0.2,0.4472135954999579,0.2,0.4472135954999579
0.5,Top90,0.4,0.5477225575051661,0.4,0.5477225575051661,4.6,2.4083189157584592,0.6,0.5477225575051661,0.2,0.4472135954999579,0.2,0.4472135954999579,0.2,0.4472135954999579,0.2,0.4472135954999579
0.5,Top70,0.2,0.447213595499958,0.2,0.447213595499958,2.8,2.280350850198276,0.6,0.5477225575051661,0.2,0.447213595499958,0.2,0.447213595499958,0.2,0.447213595499958,0.2,0.447213595499958
0.7,Top25,0.0,0.0,0.0,0.0,2.0,1.0,0.6,0.8944271909999159,0.4,0.5477225575051661,0.4,0.5477225575051661,0.6,0.8944271909999159,0.6,0.8944271909999159
0.5,Top140,0.6,0.5477225575051662,0.6,0.5477225575051662,5.4,1.6733200530681511,0.4,0.5477225575051661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,Top120,0.4,0.5477225575051661,0.4,0.5477225575051661,4.8,2.16794833886788,0.4,0.5477225575051661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,Top100,0.2,0.447213595499958,0.2,0.447213595499958,4.4,1.1401754250991378,0.4,0.5477225575051661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,Top130,0.4,0.5477225575051661,0.4,0.5477225575051661,4.2,1.7888543819998317,0.4,0.5477225575051661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,Top140,0.4,0.5477225575051661,0.4,0.5477225575051661,4.2,1.7888543819998317,0.4,0.5477225575051661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,Top120,0.4,0.5477225575051661,0.4,0.5477225575051661,3.6,2.073644135332772,0.4,0.5477225575051661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,Top80,0.2,0.447213595499958,0.2,0.447213595499958,3.2,1.6431676725154984,0.4,0.5477225575051661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,Top90,0.4,0.5477225575051661,0.4,0.5477225575051661,3.2,1.9235384061671343,0.4,0.5477225575051661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,Top140,0.2,0.447213595499958,0.2,0.447213595499958,3.0,1.4142135623730951,0.4,0.5477225575051661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,Top100,0.2,0.447213595499958,0.2,0.447213595499958,3.0,0.7071067811865476,0.4,0.5477225575051661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,Top120,0.2,0.447213595499958,0.2,0.447213595499958,2.4,1.816590212458495,0.4,0.5477225575051661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,Top130,0.2,0.447213595499958,0.2,0.447213595499958,2.4,1.816590212458495,0.4,0.5477225575051661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,Top130,0.2,0.447213595499958,0.2,0.447213595499958,2.2,1.6431676725154984,0.4,0.5477225575051661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,Top100,0.2,0.447213595499958,0.2,0.447213595499958,2.2,1.6431676725154984,0.4,0.5477225575051661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,Top120,0.2,0.447213595499958,0.2,0.447213595499958,2.0,1.4142135623730951,0.4,0.5477225575051661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,Top140,0.2,0.447213595499958,0.2,0.447213595499958,2.0,1.4142135623730951,0.4,0.5477225575051661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,Top90,0.0,0.0,0.0,0.0,2.0,1.5811388300841898,0.4,0.5477225575051661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,Top70,0.2,0.447213595499958,0.2,0.447213595499958,2.0,1.8708286933869709,0.4,0.5477225575051661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,Top60,0.2,0.447213595499958,0.2,0.447213595499958,1.8,2.683281572999748,0.4,0.5477225575051661,0.2,0.447213595499958,0.2,0.447213595499958,0.2,0.447213595499958,0.2,0.447213595499958
0.3,Top80,0.0,0.0,0.0,0.0,1.6,1.51657508881031,0.4,0.5477225575051661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,Top100,0.0,0.0,0.0,0.0,1.4,0.8944271909999159,0.4,0.5477225575051661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,Top140,0.0,0.0,0.0,0.0,1.2,0.8366600265340756,0.4,0.5477225575051661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,Top130,0.2,0.447213595499958,0.2,0.447213595499958,1.0,0.7071067811865476,0.4,0.5477225575051661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,Top70,0.0,0.0,0.0,0.0,1.0,1.0,0.4,0.5477225575051661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,Top15,0.2,0.447213595499958,0.2,0.447213595499958,0.8,1.788854381999832,0.4,0.894427190999916,0.2,0.447213595499958,0.2,0.447213595499958,0.4,0.894427190999916,0.4,0.894427190999916
0.7,Top30,0.0,0.0,0.0,0.0,2.4,1.6733200530681511,0.2,0.447213595499958,0.0,0.0,0.0,0.0,0.2,0.447213595499958,0.2,0.447213595499958
0.1,Top120,0.0,0.0,0.0,0.0,1.0,0.7071067811865476,0.2,0.447213595499958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,Top60,0.2,0.447213595499958,0.2,0.447213595499958,0.8,1.3038404810405295,0.2,0.447213595499958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,Top40,0.0,0.0,0.0,0.0,2.0,1.224744871391589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,Top80,0.0,0.0,0.0,0.0,1.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,Top90,0.0,0.0,0.0,0.0,1.0,1.224744871391589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,Top50,0.0,0.0,0.0,0.0,1.0,1.4142135623730951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,Top60,0.0,0.0,0.0,0.0,0.8,1.3038404810405295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,Top20,0.0,0.0,0.0,0.0,0.8,0.8366600265340756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,Top25,0.0,0.0,0.0,0.0,0.8,0.8366600265340756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,Top30,0.0,0.0,0.0,0.0,0.8,0.8366600265340756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
