threshold,topN,train_cohen_kappa,train_cohen_kappa_std,val_cohen_kappa,val_cohen_kappa_std,test_cohen_kappa,test_cohen_kappa_std,ext_cohen_kappa,ext_cohen_kappa_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.1,Top90,0.18844101918539055,0.3462531958594968,0.18844101918539055,0.3462531958594968,0.03285280463541486,0.07346110441630782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,Top10,0.5178516573812343,0.4799885404525958,0.5178516573812343,0.4799885404525958,0.34343998545932186,0.33239140406594847,0.1426747197799889,0.1705103697632126,-0.08214285714285716,0.1260162768884097,0.0492886478828103,0.11120306136125004,0.10074018065031272,0.13678800486749965,0.14005405663519918,0.16785185155610263
0.2,Top100,0.8455515597688728,0.03798896402000905,0.8455515597688728,0.03798896402000905,0.30113190313341,0.059498549661956696,-0.00180563482592228,0.0024724673119363664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,Top120,0.9200169033815391,0.024159058805168093,0.9200169033815391,0.024159058805168093,0.4692701726358508,0.08162028523506255,0.005433228444042781,0.014802145561997777,0.0,0.0,0.0,0.0,0.0,0.0,0.00361317747077574,0.008079310439425315
0.2,Top130,0.9359995997204766,0.017326459363745886,0.9359995997204766,0.017326459363745886,0.4574427607375001,0.08413702712079982,0.012740621746390582,0.013373220199549517,0.0,0.0,0.0,0.0,0.0,0.0,0.00722635494155148,0.00989509402506668
0.2,Top140,0.9344186583440468,0.018374069351151157,0.9344186583440468,0.018374069351151157,0.4981156312679381,0.09908082994197225,0.02354442315756446,0.018332033151563808,0.0,0.0,0.0,0.0,0.0,0.0,0.01802010263408012,0.012693729561020557
0.2,Top15,0.18692227039587408,0.417970903113771,0.18692227039587408,0.417970903113771,0.13307976643274227,0.29757540417340644,0.06381808021321414,0.1427015655502811,-0.06666666666666664,0.14907119849998593,0.029809035863996282,0.06665503053562485,0.057435212990768536,0.12842904054953747,0.06262265834076716,0.14002852098169954
0.2,Top20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,Top25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,Top30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,Top40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,Top50,0.3039840157807239,0.4391568246084802,0.3039840157807239,0.4391568246084802,0.13934804057045366,0.21971383960262622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,Top60,0.31030280535370947,0.4424366575312123,0.31030280535370947,0.4424366575312123,0.10574814444484795,0.18815446982139733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,Top70,0.3526940411881045,0.3222376679886608,0.3526940411881045,0.3222376679886608,0.05924802480398082,0.07674065928989154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,Top80,0.5809321074722144,0.06925656793266717,0.5809321074722144,0.06925656793266717,0.08499903233975262,0.04464673844541512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,Top90,0.6089841612278764,0.20547841754658674,0.6089841612278764,0.20547841754658674,0.16718598012549674,0.19543285007382954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,Top10,0.5695028609907816,0.5200297023638529,0.5695028609907816,0.5200297023638529,0.4023212290799069,0.36933887414297123,0.24586932785461618,0.23468721852691762,-0.08,0.08366600265340758,0.15248924776255066,0.14749403311797285,0.20519725811673623,0.19930318726797386,0.24335336249720307,0.2322534321288632
0.3,Top100,0.95536394771717,0.009390011526021645,0.95536394771717,0.009390011526021645,0.5203810388782253,0.05887298659806648,0.01978503536931596,0.027577307851834792,0.0,0.0,0.0,0.0,0.0,0.0,0.01792939796358714,0.021847850371211074
0.3,Top120,0.9652047895581557,0.014415247725271925,0.9652047895581557,0.014415247725271925,0.5942907693680237,0.07997610317887187,0.04147788142083628,0.018012316932193174,0.0,0.0,0.0,0.0,0.0,0.0,0.0358579311580701,0.012533380955487975
0.3,Top130,0.9736262036364263,0.005311759312801237,0.9736262036364263,0.005311759312801237,0.5945496075100603,0.084447877034879,0.04147788142083628,0.018012316932193174,0.0,0.0,0.0,0.0,0.0,0.0,0.0358579311580701,0.012533380955487975
0.3,Top140,0.9694858244977691,0.007317814457664165,0.9694858244977691,0.007317814457664165,0.6052493329825799,0.07725446303024185,0.04842799529764456,0.026529088143951655,0.0,0.0,0.0,0.0,0.0038046924540266398,0.00850755096068406,0.04285879993527444,0.020073182434638674
