threshold,topN,train_Precision,train_Precision_std,val_Precision,val_Precision_std,test_Precision,test_Precision_std,ext_Precision,ext_Precision_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.85,Top140,0.999259208768412,0.0007007559082842,0.999259208768412,0.0007007559082842,0.9307819201416452,0.0158049390114647,0.8718112799048949,0.0176939576099373,0.0,0.0,0.4289017481941826,0.0364999061409751,0.7592210644108072,0.0281028792049456,0.8499657561424294,0.0190965255618018
0.8,Top25,0.9847186543141454,0.0044126590103604,0.9847186543141454,0.0044126590103604,0.9099172588871336,0.0205110325997141,0.8708177785766574,0.0189673913825181,0.0888888888888888,0.0842541716005727,0.4752252576021945,0.0453464651683093,0.7702505169218558,0.0306051869938687,0.851521502277502,0.0220844171802209
0.8,Top90,0.999260535598754,0.000411577971577,0.999260535598754,0.000411577971577,0.9199648504573952,0.0215178165285927,0.8656733305114847,0.0122737264096538,0.0,0.0,0.412374674007534,0.0320173158818725,0.7530265319098387,0.022476518244938,0.843984056430576,0.0136001689073758
0.8,Top130,0.9991679838978388,0.0006001377508313,0.9991679838978388,0.0006001377508313,0.9168687596270362,0.0170561346541205,0.8640763014869022,0.0126686325847522,0.0222222222222222,0.0496903994999953,0.4392497896381776,0.0301622616593939,0.7516036645220202,0.0182734198300348,0.8415562504518803,0.0140838954436488
0.8,Top120,0.9991682413082724,0.000600253615659,0.9991682413082724,0.000600253615659,0.917746181299352,0.0195814346144189,0.8639621429901826,0.011721873881384,0.0,0.0,0.4211632663675549,0.0256757113840602,0.7519438055709486,0.0153957918167573,0.8418825407292194,0.0122640673162998
0.8,Top50,0.9939714459657444,0.0057944678875586,0.9939714459657444,0.0057944678875586,0.9100111336830048,0.024960980131956,0.8636620499212144,0.0208422206342368,0.073015873015873,0.0679023797974839,0.4401593678189422,0.0414464693296489,0.7540703729485647,0.0282151356081599,0.8421032833570173,0.0227738650095283
0.7,Top15,0.96079164721596,0.0215381396799322,0.96079164721596,0.0215381396799322,0.903240796722842,0.0263825944133696,0.8628078042023667,0.0343606595486158,0.221031746031746,0.1592476682839264,0.5132319192565553,0.0908832894044788,0.7612412017584339,0.0529915361329311,0.8417215803399738,0.0388361060969964
0.8,Top70,0.9981580155604106,0.0018372709119659,0.9981580155604106,0.0018372709119659,0.9203229678805168,0.0216101221740517,0.8618368572336079,0.0169938958496171,0.0222222222222222,0.0496903994999953,0.4152085721039156,0.0365736873742467,0.7464119487860378,0.0284629397989492,0.8394007788781052,0.0187684987367328
0.8,Top60,0.995318435418432,0.0039291561437725,0.995318435418432,0.0039291561437725,0.9133934927670304,0.0283536116639076,0.8604141830777744,0.0238189366296271,0.0666666666666666,0.0608580619450184,0.4229532756841393,0.0465079358106802,0.7455656274941189,0.0363668685991722,0.8378863916165133,0.0266455941018499
0.8,Top140,0.9991680720595644,0.0006006132324309,0.9991680720595644,0.0006006132324309,0.9207473820885216,0.0150098808389732,0.8596774780921124,0.0121961483877953,0.0222222222222222,0.0496903994999953,0.4170503422546308,0.026187670865934,0.7435476790415879,0.0195616190080349,0.8369135054736377,0.0129788289754139
