threshold,topN,train_FP,train_FP_std,val_FP,val_FP_std,test_FP,test_FP_std,ext_FP,ext_FP_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.4,Top140,16.8,3.7013511046643495,16.8,3.7013511046643495,33.2,6.534523701081817,82.6,1.6733200530681513,9.0,0.0,38.0,0.0,69.8,1.095445115010331,81.0,1.2247448713915876
0.4,Top15,489.8,259.35631860434785,489.8,259.35631860434785,67.2,25.547994050414214,79.4,16.994116628998402,8.4,1.3416407864998738,34.0,8.94427190999916,64.8,13.863621460498697,77.6,16.546903033498445
0.4,Top20,606.2,6.685805860178723,606.2,6.685805860178723,78.2,3.8340579025361614,87.0,0.0,9.0,0.0,38.0,0.0,71.0,0.0,85.0,0.0
0.4,Top25,606.2,6.685805860178723,606.2,6.685805860178723,78.2,3.8340579025361614,87.0,0.0,9.0,0.0,38.0,0.0,71.0,0.0,85.0,0.0
0.4,Top30,606.2,6.685805860178723,606.2,6.685805860178723,78.2,3.8340579025361614,87.0,0.0,9.0,0.0,38.0,0.0,71.0,0.0,85.0,0.0
0.4,Top40,606.2,6.685805860178723,606.2,6.685805860178723,78.2,3.8340579025361614,87.0,0.0,9.0,0.0,38.0,0.0,71.0,0.0,85.0,0.0
0.4,Top50,366.2,322.89425513625974,366.2,322.89425513625974,60.2,27.179036038829633,85.0,2.82842712474619,9.0,0.0,38.0,0.0,70.0,1.4142135623730954,83.0,2.82842712474619
0.4,Top60,369.0,325.52496064050143,369.0,325.52496064050143,60.6,26.38749703931769,85.2,2.4899799195977463,9.0,0.0,38.0,0.0,70.2,1.095445115010332,83.4,2.190890230020664
0.4,Top70,240.0,304.76138206800414,240.0,304.76138206800414,54.0,25.768197453450252,84.6,2.8809720581775875,9.0,0.0,38.0,0.0,70.4,0.8944271909999153,82.8,2.489979919597748
0.4,Top80,18.4,2.4083189157584584,18.4,2.4083189157584584,40.2,5.718391382198319,84.8,0.8366600265340772,9.0,0.0,38.0,0.0,71.0,0.0,83.2,0.44721359549995815
0.4,Top90,17.4,7.436396977031283,17.4,7.436396977031283,39.0,8.631338250816034,84.8,1.6431676725154991,9.0,0.0,38.0,0.0,70.8,0.44721359549995715,83.0,1.2247448713915883
0.5,Top10,157.4,190.00078947204403,157.4,190.00078947204403,42.2,24.621129137389293,60.4,24.296090220444935,6.6,2.6076809620810595,25.6,11.865917579353061,49.4,19.806564568344506,59.0,23.748684174075834
0.5,Top100,12.0,3.082207001484488,12.0,3.082207001484488,32.4,4.669047011971501,80.4,4.827007354458869,9.0,0.0,37.6,0.5477225575051652,68.4,3.435112807463533,78.8,4.324349662087931
0.5,Top120,11.8,3.2710854467592254,11.8,3.2710854467592254,31.2,6.300793600809346,78.2,4.207136793592524,9.0,0.0,37.2,0.8366600265340757,66.2,3.193743884534264,76.6,3.84707681233427
0.5,Top130,10.2,3.7013511046643495,10.2,3.7013511046643495,31.6,6.387487769068525,78.6,4.0373258476372715,9.0,0.0,37.0,0.7071067811865476,66.8,2.863564212655272,77.0,3.605551275463989
0.5,Top140,11.4,3.2093613071762426,11.4,3.2093613071762426,30.4,6.2289646009589745,78.8,4.324349662087931,9.0,0.0,37.4,0.8944271909999157,66.8,3.271085446759224,77.2,3.9623225512317886
0.5,Top15,314.8,168.7400367429141,314.8,168.7400367429141,56.6,20.911719202399404,77.8,19.47305831142094,8.0,2.23606797749979,33.2,10.73312629199899,63.6,15.993748778819805,76.0,19.026297590440446
0.5,Top20,409.2,39.26448777203135,409.2,39.26448777203135,68.0,6.633249580710799,87.0,0.0,9.0,0.0,38.0,0.0,71.0,0.0,85.0,0.0
0.5,Top25,426.2,52.203448161974904,426.2,52.203448161974904,68.8,7.791020472312983,87.0,0.0,9.0,0.0,38.0,0.0,71.0,0.0,85.0,0.0
0.5,Top30,350.0,18.907670401189044,350.0,18.907670401189044,65.0,8.514693182963201,87.0,0.0,9.0,0.0,38.0,0.0,71.0,0.0,85.0,0.0
0.5,Top40,346.4,55.68482737694353,346.4,55.68482737694353,65.0,6.928203230275509,87.0,0.0,9.0,0.0,38.0,0.0,71.0,0.0,85.0,0.0
0.5,Top50,210.6,199.21922597982356,210.6,199.21922597982356,52.2,22.521101216414795,81.8,7.12039324756716,9.0,0.0,37.4,1.3416407864998738,68.0,4.242640687119285,80.0,6.855654600401044
0.5,Top60,170.2,146.4127726668681,170.2,146.4127726668681,48.8,20.364184245876388,82.6,5.594640292279746,9.0,0.0,37.4,1.3416407864998738,68.6,3.9115214431215897,80.8,5.215361924162119
0.5,Top70,71.0,77.07788269017254,71.0,77.07788269017254,41.4,15.533834040570923,81.4,6.107372593840988,9.0,0.0,37.8,0.44721359549995865,68.6,3.361547262794323,79.8,5.585696017507575
0.5,Top80,14.2,2.3874672772626644,14.2,2.3874672772626644,34.0,5.787918451395113,80.4,3.3615472627943235,9.0,0.0,37.8,0.44721359549995865,68.2,1.6431676725154998,78.8,3.1144823004794873
0.5,Top90,13.8,4.147288270665544,13.8,4.147288270665544,33.0,7.3484692283495345,81.2,3.114482300479487,9.0,0.0,38.0,0.0,68.8,1.923538406167134,79.6,2.9664793948382657
0.6,Top10,81.4,92.53810026145987,81.4,92.53810026145987,30.2,12.872451204024818,51.4,23.082460874005616,5.2,2.16794833886788,21.2,10.425929215182693,43.0,19.27433526739638,50.0,22.53885533916929
0.6,Top100,8.8,2.16794833886788,8.8,2.16794833886788,29.8,5.06951674225463,75.6,5.9833101206606365,9.0,0.0,36.8,0.8366600265340751,64.6,3.847076812334269,74.0,5.477225575051659
0.6,Top120,8.4,2.3021728866442674,8.4,2.3021728866442674,27.6,6.877499545619759,72.6,4.56070170039655,9.0,0.0,36.4,2.073644135332772,61.8,4.086563348340508,71.2,4.438468204234428
0.6,Top130,6.8,2.3874672772626644,6.8,2.3874672772626644,27.6,6.767569726275452,72.6,4.159326868617084,9.0,0.0,35.4,1.673320053068151,61.8,3.2710854467592254,71.2,3.898717737923586
0.6,Top140,8.0,3.0,8.0,3.0,27.4,5.941380311005179,73.6,4.615192303685732,9.0,0.0,36.4,2.3021728866442674,62.6,3.6469165057620945,72.0,4.183300132670378
0.6,Top15,168.0,85.83414239100895,168.0,85.83414239100895,37.4,11.013627921806693,71.0,18.774983355518586,7.2,2.3874672772626644,30.4,10.502380682492898,59.4,16.607227342335023,69.2,18.335757415498275
0.6,Top20,208.4,18.955210365490537,208.4,18.955210365490537,42.4,4.560701700396553,80.6,2.4083189157584615,8.2,0.44721359549995815,36.0,1.5811388300841898,68.0,1.5811388300841898,78.6,2.4083189157584615
0.6,Top25,197.8,13.80941707676323,197.8,13.80941707676323,42.0,7.035623639735144,81.4,1.516575088810308,8.2,0.44721359549995815,37.0,0.7071067811865478,68.8,1.0954451150103335,79.4,1.516575088810308
0.6,Top30,172.4,9.289779329994872,172.4,9.289779329994872,40.8,5.932958789676531,82.0,1.732050807568878,8.4,0.5477225575051662,37.2,0.8366600265340751,68.6,1.6733200530681518,80.0,1.732050807568878
0.6,Top40,157.2,26.845856291055423,157.2,26.845856291055423,42.0,5.338539126015656,83.0,0.7071067811865476,9.0,0.0,38.0,0.0,70.0,0.0,81.0,0.7071067811865476
0.6,Top50,100.2,90.23136926812093,100.2,90.23136926812093,38.6,11.304866208850063,77.2,8.871302046486749,8.8,0.44721359549995804,36.8,1.7888543819998322,65.8,5.761944116355173,75.6,8.324662155306966
