threshold,topN,train_TP,train_TP_std,val_TP,val_TP_std,test_TP,test_TP_std,ext_TP,ext_TP_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.7,Top25,2162.8,6.6858058601787045,2162.8,6.6858058601787045,266.8,4.32434966208793,352.4,0.8944271909999183,2.6,0.5477225575051661,24.6,0.547722557505166,149.4,0.8944271909999153,288.4,0.8944271909999183
0.5,Top70,2162.6,7.092249290598851,2162.6,7.092249290598851,266.0,2.6457513110645907,352.4,0.54772255750517,2.8,0.4472135954999579,24.8,0.4472135954999581,149.8,0.4472135954999551,288.8,0.4472135954999611
0.5,Top80,2162.4,7.16240183178798,2162.4,7.16240183178798,264.2,4.969909455915668,352.4,0.54772255750517,2.8,0.4472135954999578,24.8,0.4472135954999581,149.8,0.4472135954999611,288.8,0.4472135954999611
0.5,Top90,2162.4,7.16240183178798,2162.4,7.16240183178798,264.2,4.868264577855228,352.4,0.54772255750517,2.8,0.4472135954999578,24.8,0.4472135954999581,149.8,0.4472135954999611,288.8,0.4472135954999611
0.5,Top130,2162.4,7.16240183178798,2162.4,7.16240183178798,263.6,4.615192303685736,352.4,0.54772255750517,2.8,0.4472135954999578,24.8,0.4472135954999581,149.8,0.4472135954999611,288.8,0.4472135954999611
0.6,Top100,2162.0,6.96419413859206,2162.0,6.96419413859206,263.6,4.669047011971502,352.4,0.5477225575051733,2.8,0.4472135954999579,24.8,0.4472135954999578,149.8,0.4472135954999571,288.8,0.4472135954999571
0.1,Top10,2162.6,6.767569726275449,2162.6,6.767569726275449,268.0,3.605551275463989,352.0,2.236067977499786,2.6,0.8944271909999159,24.2,1.7888543819998322,149.0,2.236067977499792,288.0,2.236067977499786
0.4,Top50,2162.6,6.767569726275449,2162.6,6.767569726275449,267.2,3.4928498393145984,352.0,1.4142135623730938,2.2,1.3038404810405295,24.2,1.30384048104053,149.2,1.3038404810405295,288.2,1.3038404810405335
0.7,Top20,2162.8,6.6858058601787045,2162.8,6.6858058601787045,266.2,4.764451699828635,352.0,0.7071067811865476,2.2,0.447213595499958,24.2,0.4472135954999576,149.0,0.7071067811865476,288.0,0.7071067811865476
0.6,Top120,2162.0,6.819090848492928,2162.0,6.819090848492928,262.4,4.722287581247033,352.0,1.2247448713915934,3.0,0.0,25.0,0.0,149.6,0.8944271909999143,288.6,0.8944271909999183
0.5,Top60,2162.6,6.767569726275449,2162.6,6.767569726275449,266.8,3.898717737923587,351.8,1.6431676725154971,2.0,1.4142135623730951,24.0,1.414213562373095,149.0,1.4142135623730956,288.0,1.4142135623730938
0.5,Top50,2162.4,7.16240183178798,2162.4,7.16240183178798,266.6,3.781534080237816,351.8,1.6431676725154971,2.0,1.4142135623730951,24.0,1.414213562373095,149.0,1.4142135623730956,288.0,1.4142135623730938
