threshold,topN,train_TN,train_TN_std,val_TN,val_TN_std,test_TN,test_TN_std,ext_TN,ext_TN_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.4,Top140,589.4,6.503845016603631,589.4,6.503845016603631,45.0,7.0710678118654755,4.4,1.6733200530681511,0.0,0.0,0.0,0.0,1.2,1.0954451150103321,4.0,1.224744871391589
0.4,Top15,116.4,260.2783125809755,116.4,260.2783125809755,11.0,24.596747752497688,7.6,16.994116628998402,0.6,1.3416407864998738,4.0,8.944271909999157,6.2,13.863621460498695,7.4,16.546903033498445
0.4,Top20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,Top25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,Top30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,Top40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,Top50,240.0,328.6342952279935,240.0,328.6342952279935,18.0,25.13961017995307,2.0,2.8284271247461903,0.0,0.0,0.0,0.0,1.0,1.4142135623730951,2.0,2.8284271247461903
0.4,Top60,237.2,324.84873402862445,237.2,324.84873402862445,17.6,24.26520142096496,1.8,2.4899799195977463,0.0,0.0,0.0,0.0,0.8,1.0954451150103321,1.6,2.1908902300206643
0.4,Top70,366.2,309.0480545157985,366.2,309.0480545157985,24.2,22.376326776305355,2.4,2.8809720581775866,0.0,0.0,0.0,0.0,0.6,0.8944271909999159,2.2,2.4899799195977463
0.4,Top80,587.8,7.155417527999317,587.8,7.155417527999317,38.0,7.3824115301167,2.2,0.8366600265340756,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.4472135954999579
0.4,Top90,588.8,11.322543883774529,588.8,11.322543883774529,39.2,9.57601169589929,2.2,1.6431676725154984,0.0,0.0,0.0,0.0,0.2,0.447213595499958,2.0,1.224744871391589
0.5,Top10,448.8,194.372580370792,448.8,194.372580370792,36.0,21.38924963620744,26.6,24.296090220444935,2.4,2.6076809620810595,12.4,11.865917579353061,21.6,19.806564568344506,26.0,23.748684174075834
0.5,Top100,594.2,7.395944834840241,594.2,7.395944834840241,45.8,4.764451699828639,6.6,4.8270073544588685,0.0,0.0,0.4,0.5477225575051661,2.6,3.4351128074635335,6.2,4.324349662087931
0.5,Top120,594.4,8.264381404557758,594.4,8.264381404557758,47.0,7.106335201775948,8.8,4.207136793592526,0.0,0.0,0.8,0.8366600265340756,4.8,3.1937438845342627,8.4,3.847076812334269
0.5,Top130,596.0,7.549834435270753,596.0,7.549834435270753,46.6,6.767569726275452,8.4,4.03732584763727,0.0,0.0,1.0,0.7071067811865476,4.2,2.8635642126552705,8.0,3.605551275463989
0.5,Top140,594.8,6.978538528947167,594.8,6.978538528947167,47.8,7.395944834840239,8.2,4.324349662087931,0.0,0.0,0.6,0.8944271909999159,4.2,3.271085446759225,7.8,3.96232255123179
0.5,Top15,291.4,171.2331743559057,291.4,171.2331743559057,21.6,19.578048932414077,9.2,19.473058311420935,1.0,2.2360679774997894,4.8,10.73312629199899,7.4,15.993748778819805,9.0,19.026297590440446
0.5,Top20,197.0,43.116122274620196,197.0,43.116122274620196,10.2,3.420526275297414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,Top25,180.0,51.894122981316485,180.0,51.894122981316485,9.4,5.412947441089743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,Top30,256.2,24.314604664686613,256.2,24.314604664686613,13.2,6.016643582596529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,Top40,259.8,59.310201483387324,259.8,59.310201483387324,13.2,5.805170109479997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,Top50,395.6,204.43898845376827,395.6,204.43898845376827,26.0,21.118712081942874,5.2,7.12039324756716,0.0,0.0,0.6,1.3416407864998738,3.0,4.242640687119285,5.0,6.855654600401044
