threshold,topN,train_accuracy,train_accuracy_std,val_accuracy,val_accuracy_std,test_accuracy,test_accuracy_std,ext_accuracy,ext_accuracy_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.1,Top80,0.7907547851209823,0.0073950220869514,0.7907547851209823,0.0073950220869514,0.7752161383285303,0.010588572375143459,0.8022727272727274,0.0,0.25,0.0,0.3968253968253968,0.0,0.6787330316742082,0.0,0.7727272727272727,0.0
0.1,Top90,0.8169014084507042,0.06912010601654914,0.8169014084507042,0.06912010601654914,0.7792507204610951,0.016378411802170374,0.8022727272727274,0.0,0.25,0.0,0.3968253968253968,0.0,0.6787330316742082,0.0,0.7727272727272727,0.0
0.2,Top10,0.8876128566269411,0.09872453947358255,0.8876128566269411,0.09872453947358255,0.8334293948126801,0.06735136053079975,0.8177272727272727,0.019511069119395236,0.25,0.0,0.44444444444444436,0.08979133729352984,0.6977375565610859,0.0281490154117571,0.7909090909090909,0.02295419896399441
0.2,Top100,0.9516070783676417,0.010788999094467077,0.9516070783676417,0.010788999094467077,0.8213256484149856,0.017764881852936596,0.8013636363636364,0.001244823994329883,0.25,0.0,0.3968253968253968,0.0,0.6787330316742082,0.0,0.7727272727272727,0.0
0.2,Top120,0.9739256049115206,0.0074424885427489176,0.9739256049115206,0.0074424885427489176,0.8547550432276656,0.015599272164523777,0.8022727272727274,0.001607060866333073,0.25,0.0,0.3968253968253968,0.0,0.6787330316742082,0.0,0.7732620320855614,0.001195758276737841
0.2,Top130,0.9789093535572408,0.005462671116269872,0.9789093535572408,0.005462671116269872,0.8518731988472622,0.01700043942795688,0.8031818181818181,0.001244823994329948,0.25,0.0,0.3968253968253968,0.0,0.6787330316742082,0.0,0.7737967914438503,0.0014644988168587413
0.2,Top140,0.9784037558685446,0.005853384869924688,0.9784037558685446,0.005853384869924688,0.8610951008645532,0.020721242665415043,0.8045454545454545,0.0016070608663330713,0.25,0.0,0.3968253968253968,0.0,0.6787330316742082,0.0,0.7754010695187166,0.001890659842744769
0.2,Top15,0.8206572769953052,0.08817490155169411,0.8206572769953052,0.08817490155169411,0.7982708933717578,0.055843868516069456,0.809090909090909,0.015245918028407648,0.2333333333333333,0.037267799624996524,0.4253968253968254,0.06388765649999398,0.6904977375565611,0.026306682088232832,0.7807486631016043,0.017936374151067844
0.2,Top20,0.7810762007945107,0.0024145199928417077,0.7810762007945107,0.0024145199928417077,0.7746397694524496,0.0110491582205653,0.8022727272727274,0.0,0.25,0.0,0.3968253968253968,0.0,0.6787330316742082,0.0,0.7727272727272727,0.0
0.2,Top25,0.7810762007945107,0.0024145199928417077,0.7810762007945107,0.0024145199928417077,0.7746397694524496,0.0110491582205653,0.8022727272727274,0.0,0.25,0.0,0.3968253968253968,0.0,0.6787330316742082,0.0,0.7727272727272727,0.0
0.2,Top30,0.7810762007945107,0.0024145199928417077,0.7810762007945107,0.0024145199928417077,0.7746397694524496,0.0110491582205653,0.8022727272727274,0.0,0.25,0.0,0.3968253968253968,0.0,0.6787330316742082,0.0,0.7727272727272727,0.0
0.2,Top40,0.7810762007945107,0.0024145199928417077,0.7810762007945107,0.0024145199928417077,0.7746397694524496,0.0110491582205653,0.8022727272727274,0.0,0.25,0.0,0.3968253968253968,0.0,0.6787330316742082,0.0,0.7727272727272727,0.0
0.2,Top50,0.842325749368003,0.09026456966737685,0.842325749368003,0.09026456966737685,0.7971181556195965,0.04149255480098206,0.8022727272727274,0.0,0.25,0.0,0.3968253968253968,0.0,0.6787330316742082,0.0,0.7727272727272727,0.0
0.2,Top60,0.8430480317804262,0.09141175222373472,0.8430480317804262,0.09141175222373472,0.7907780979827089,0.03461813687710722,0.8022727272727274,0.0,0.25,0.0,0.3968253968253968,0.0,0.6787330316742082,0.0,0.7727272727272727,0.0
0.2,Top70,0.844131455399061,0.056143579203373255,0.844131455399061,0.056143579203373255,0.7821325648414985,0.019819883416771628,0.8022727272727274,0.0,0.25,0.0,0.3968253968253968,0.0,0.6787330316742082,0.0,0.7727272727272727,0.0
0.2,Top80,0.8842903575297942,0.016424184319328027,0.8842903575297942,0.016424184319328027,0.7855907780979827,0.012328097773030238,0.8022727272727274,0.0,0.25,0.0,0.3968253968253968,0.0,0.6787330316742082,0.0,0.7727272727272727,0.0
0.2,Top90,0.894474539544962,0.052352646589975835,0.894474539544962,0.052352646589975835,0.8005763688760806,0.037926648706310316,0.8022727272727274,0.0,0.25,0.0,0.3968253968253968,0.0,0.6787330316742082,0.0,0.7727272727272727,0.0
