threshold,topN,train_EF_0.05,train_EF_0.05_std,val_EF_0.05,val_EF_0.05_std,test_EF_0.05,test_EF_0.05_std,ext_EF_0.05,ext_EF_0.05_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.4,Top20,1.280294627990138,0.0039676339922302,1.280294627990138,0.0039676339922302,1.2766942923336435,0.0328806711588533,1.246458923512748,0.0,0.0,0.0,2.394,0.2817445651649736,1.4733333333333332,0.0,1.2941176470588236,0.0
0.4,Top25,1.280294627990138,0.0039676339922302,1.280294627990138,0.0039676339922302,1.2766942923336435,0.0328806711588533,1.246458923512748,0.0,0.0,0.0,2.394,0.2817445651649736,1.4733333333333332,0.0,1.2941176470588236,0.0
0.4,Top30,1.280294627990138,0.0039676339922302,1.280294627990138,0.0039676339922302,1.2766942923336435,0.0328806711588533,1.246458923512748,0.0,0.0,0.0,2.394,0.2817445651649736,1.4733333333333332,0.0,1.2941176470588236,0.0
0.5,Top15,1.280294627990138,0.0039676339922302,1.280294627990138,0.0039676339922302,1.2766942923336435,0.0328806711588533,1.246458923512748,0.0,0.0,0.0,2.394,0.2817445651649736,1.4733333333333332,0.0,1.2941176470588236,0.0
0.5,Top20,1.280294627990138,0.0039676339922302,1.280294627990138,0.0039676339922302,1.2766942923336435,0.0328806711588533,1.246458923512748,0.0,0.0,0.0,2.394,0.2817445651649736,1.4733333333333332,0.0,1.2941176470588236,0.0
0.5,Top25,1.280294627990138,0.0039676339922302,1.280294627990138,0.0039676339922302,1.2766942923336435,0.0328806711588533,1.246458923512748,0.0,0.0,0.0,2.394,0.2817445651649736,1.4733333333333332,0.0,1.2941176470588236,0.0
0.5,Top30,1.280294627990138,0.0039676339922302,1.280294627990138,0.0039676339922302,1.2766942923336435,0.0328806711588533,1.246458923512748,0.0,0.0,0.0,2.394,0.2817445651649736,1.4733333333333332,0.0,1.2941176470588236,0.0
0.6,Top15,1.280294627990138,0.0039676339922302,1.280294627990138,0.0039676339922302,1.2766942923336435,0.0328806711588533,1.246458923512748,0.0,0.0,0.0,2.394,0.2817445651649736,1.4733333333333332,0.0,1.2941176470588236,0.0
0.6,Top20,1.280294627990138,0.0039676339922302,1.280294627990138,0.0039676339922302,1.2766942923336435,0.0328806711588533,1.246458923512748,0.0,0.0,0.0,2.394,0.2817445651649736,1.4733333333333332,0.0,1.2941176470588236,0.0
0.6,Top25,1.280294627990138,0.0039676339922302,1.280294627990138,0.0039676339922302,1.2766942923336435,0.0328806711588533,1.246458923512748,0.0,0.0,0.0,2.394,0.2817445651649736,1.4733333333333332,0.0,1.2941176470588236,0.0
0.6,Top30,1.280294627990138,0.0039676339922302,1.280294627990138,0.0039676339922302,1.2766942923336435,0.0328806711588533,1.246458923512748,0.0,0.0,0.0,2.394,0.2817445651649736,1.4733333333333332,0.0,1.2941176470588236,0.0
0.7,Top15,1.280294627990138,0.0039676339922302,1.280294627990138,0.0039676339922302,1.2766942923336435,0.0328806711588533,1.246458923512748,0.0,0.0,0.0,2.394,0.2817445651649736,1.4733333333333332,0.0,1.2941176470588236,0.0
0.7,Top20,1.280294627990138,0.0039676339922302,1.280294627990138,0.0039676339922302,1.2766942923336435,0.0328806711588533,1.246458923512748,0.0,0.0,0.0,2.394,0.2817445651649736,1.4733333333333332,0.0,1.2941176470588236,0.0
0.7,Top25,1.280294627990138,0.0039676339922302,1.280294627990138,0.0039676339922302,1.2766942923336435,0.0328806711588533,1.246458923512748,0.0,0.0,0.0,2.394,0.2817445651649736,1.4733333333333332,0.0,1.2941176470588236,0.0
0.7,Top30,1.280294627990138,0.0039676339922302,1.280294627990138,0.0039676339922302,1.2766942923336435,0.0328806711588533,1.246458923512748,0.0,0.0,0.0,2.394,0.2817445651649736,1.4733333333333332,0.0,1.2941176470588236,0.0
0.8,Top15,1.280294627990138,0.0039676339922302,1.280294627990138,0.0039676339922302,1.2766942923336435,0.0328806711588533,1.246458923512748,0.0,0.0,0.0,2.394,0.2817445651649736,1.4733333333333332,0.0,1.2941176470588236,0.0
0.8,Top20,1.280294627990138,0.0039676339922302,1.280294627990138,0.0039676339922302,1.2766942923336435,0.0328806711588533,1.246458923512748,0.0,0.0,0.0,2.394,0.2817445651649736,1.4733333333333332,0.0,1.2941176470588236,0.0
0.8,Top25,1.280294627990138,0.0039676339922302,1.280294627990138,0.0039676339922302,1.2766942923336435,0.0328806711588533,1.246458923512748,0.0,0.0,0.0,2.394,0.2817445651649736,1.4733333333333332,0.0,1.2941176470588236,0.0
0.8,Top30,1.280294627990138,0.0039676339922302,1.280294627990138,0.0039676339922302,1.2766942923336435,0.0328806711588533,1.246458923512748,0.0,0.0,0.0,2.394,0.2817445651649736,1.4733333333333332,0.0,1.2941176470588236,0.0
