threshold,topN,train_MCC,train_MCC_std,val_MCC,val_MCC_std,test_MCC,test_MCC_std,ext_MCC,ext_MCC_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.95,Top80,0.981995096570371,0.0030207270958617,0.981995096570371,0.0030207270958617,0.7567506686696169,0.0236981039120938,0.6048598979272743,0.0292487972639176,-0.3783118705402855,0.1310266454894153,0.3950073152129028,0.0863186762490584,0.4796657787758557,0.0411721428235049,0.5912371707487938,0.0284832028378415
0.9,Top50,0.988491966440656,0.0040180526662549,0.988491966440656,0.0040180526662549,0.7276026161874585,0.055892645458435,0.5996854828845015,0.0438627366954558,-0.5227360047367717,0.1773406600463359,0.2761461957344197,0.1813003009435035,0.5003710551516951,0.0594366107674714,0.5975140347182845,0.0449059753009383
0.9,Top70,0.9889494523803034,0.0043358806966043,0.9889494523803034,0.0043358806966043,0.7403445856682117,0.0486360202318902,0.5851521069516604,0.0381064914258817,-0.5536593453649585,0.1469304814341183,0.270914503667511,0.1451937452860979,0.4765475095830509,0.0342909653667912,0.5800936715725412,0.0272214439558106
0.9,Top80,0.9881026252394356,0.0021403505134781,0.9881026252394356,0.0021403505134781,0.7392610971468473,0.0506941000349606,0.5840458902538754,0.0309234886256198,-0.5110456901901272,0.1022014680784114,0.3100595415558833,0.0924807113946176,0.4685176818664358,0.0385767980808406,0.5769352805537005,0.0284210334151323
0.9,Top120,0.9895457545698376,0.0026322683384235,0.9895457545698376,0.0026322683384235,0.7383490602321605,0.0411022112876868,0.581502190496292,0.0521080751802421,-0.5536593453649585,0.1469304814341183,0.2521021077424405,0.1546319859820176,0.4831559516857898,0.0606242504074523,0.5796176419760225,0.0512948528438631
0.9,Top100,0.9899664685956092,0.0021199073813368,0.9899664685956092,0.0021199073813368,0.735092554873958,0.0402738383142133,0.5792890693020505,0.0455912903206688,-0.5269860393922079,0.0872871560943969,0.2704539409308759,0.0942796103103108,0.4833040129241602,0.0400326193855567,0.5755829670191837,0.0403361123032057
0.9,Top90,0.989768235422307,0.0029504630522431,0.989768235422307,0.0029504630522431,0.726941735851663,0.0433102918881036,0.5757087965277711,0.0362114408884814,-0.5715393919080303,0.1423019077285235,0.235907703607239,0.1347721769262481,0.4665376083848997,0.0416170816022337,0.5689086468384904,0.03300413697079
0.9,Top130,0.9885170637617704,0.0027001043230457,0.9885170637617704,0.0027001043230457,0.7422115469284496,0.0422783427929168,0.5754838986825858,0.0593255647835526,-0.5377189961628778,0.1596170835523118,0.2611872829970676,0.165795525921395,0.4793639389530357,0.0768924332939996,0.5730104200265421,0.0609603662042596
0.85,Top40,0.9889959602794732,0.0021029739555366,0.9889959602794732,0.0021029739555366,0.7279122182695902,0.0601243421641157,0.5736187991428026,0.0569472441550606,-0.3832711615927678,0.1763679456632103,0.2476974623249153,0.1173110235192484,0.4927727145332108,0.0691296671115632,0.573675254865547,0.0589860797441153
0.7,Top10,0.9458168075661494,0.0429966467688117,0.9458168075661494,0.0429966467688117,0.7224508908022969,0.040966821146775,0.569712085172225,0.077075123750134,-0.2897079570288252,0.2560022688570049,0.379827935313389,0.0519042817118792,0.4958181156319002,0.071272475253499,0.5669659270417193,0.0776480459370322
