threshold,topN,train_SP,train_SP_std,val_SP,val_SP_std,test_SP,test_SP_std,ext_SP,ext_SP_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.9,Top15,0.9867614639065472,0.0082028629044698,0.9867614639065472,0.0082028629044698,0.8236493506493506,0.0715635409857444,0.7402298850574713,0.0449600165876045,0.8222222222222222,0.0608580619450184,0.7368421052631579,0.0617159968397819,0.752112676056338,0.0513650212079168,0.7435294117647059,0.0427432991166704
0.95,Top50,0.9990033167495854,0.0009098494622243,0.9990033167495854,0.0009098494622243,0.8617922077922078,0.0411309588593657,0.7379310344827587,0.0647158080931459,0.6888888888888889,0.164804410824348,0.6526315789473685,0.1137986753181034,0.7267605633802817,0.076886445430739,0.7411764705882353,0.0680931582517072
0.85,Top10,0.984428728927797,0.0105090088692224,0.984428728927797,0.0105090088692224,0.793430735930736,0.086961737965929,0.735632183908046,0.076244248054147,0.888888888888889,0.0,0.7789473684210526,0.0440347382386355,0.7577464788732394,0.0734558017487622,0.7458823529411764,0.0723314171714795
0.95,Top90,1.0,0.0,1.0,0.0,0.8497900432900434,0.0307430289498887,0.6942528735632184,0.0464060442257157,0.5111111111111111,0.1266861583443487,0.5263157894736842,0.0811107105653813,0.6619718309859155,0.058071910219967,0.691764705882353,0.0487916267137122
0.9,Top20,0.989103156874786,0.0043443042221816,0.989103156874786,0.0043443042221816,0.8079134199134199,0.0923274958226744,0.6942528735632184,0.0632706158368868,0.711111111111111,0.1685083432011455,0.6526315789473685,0.0681167321344462,0.695774647887324,0.076886445430739,0.7011764705882353,0.0636817346010557
0.95,Top100,1.0,0.0,1.0,0.0,0.8442683982683983,0.0443959138910097,0.689655172413793,0.0269564124127783,0.4888888888888889,0.0608580619450184,0.5210526315789473,0.0470751153157851,0.6563380281690141,0.0274557587177717,0.6870588235294118,0.0243958133568561
0.95,Top130,1.0,0.0,1.0,0.0,0.838935064935065,0.0404573607149405,0.6712643678160919,0.0542791676005407,0.5333333333333333,0.1448711645600588,0.5105263157894736,0.1297237636196446,0.6366197183098591,0.0707036642141472,0.6705882352941177,0.0582323231565392
0.95,Top120,1.0,0.0,1.0,0.0,0.8444848484848485,0.0439876433104079,0.664367816091954,0.0565442477068912,0.4888888888888889,0.0993807989999906,0.4789473684210527,0.1168017948482744,0.6253521126760563,0.0694296199654436,0.6588235294117647,0.0599884648657975
0.9,Top30,0.9917381203326824,0.0039146114770248,0.9917381203326824,0.0039146114770248,0.7723614718614719,0.0917080743093893,0.6574712643678161,0.0582703073822371,0.5777777777777777,0.1648044108243481,0.5736842105263158,0.0819600605389339,0.647887323943662,0.0605797554017086,0.6658823529411765,0.0542963800433615
0.8,Top10,0.9701452731650118,0.0255429601469965,0.9701452731650118,0.0255429601469965,0.7424978354978355,0.0909945351913001,0.6528735632183909,0.1585207081200855,0.711111111111111,0.2304049039258635,0.6842105263157895,0.1275705225635876,0.6619718309859154,0.165155484500825,0.6611764705882353,0.1559433842788658
0.9,Top25,0.989750798171558,0.0055803810737539,0.989750798171558,0.0055803810737539,0.7745757575757576,0.0926531397148519,0.6459770114942529,0.0710415500706319,0.6222222222222222,0.1266861583443487,0.5947368421052632,0.0758150541625681,0.6338028169014084,0.0796740035139771,0.6541176470588235,0.0694017939000123
0.95,Top140,1.0,0.0,1.0,0.0,0.8368398268398268,0.0555236448148397,0.6344827586206897,0.0621115222349714,0.4888888888888889,0.0993807989999906,0.4578947368421053,0.1156099086130989,0.5971830985915493,0.0787977505954894,0.6305882352941177,0.0658192975562323
0.85,Top15,0.9633149074143628,0.0177351102886928,0.9633149074143628,0.0177351102886928,0.7519761904761905,0.0723748626824211,0.6068965517241379,0.1038943129974865,0.6222222222222222,0.2165954298846436,0.6157894736842106,0.1270265093278649,0.6140845070422535,0.1201731211701495,0.6188235294117648,0.1020889089407841
0.9,Top80,0.9993441759328692,0.0008981226298405,0.9993441759328692,0.0008981226298405,0.7925974025974025,0.058763694507177,0.6045977011494253,0.0464060442257157,0.4222222222222222,0.1217161238900369,0.431578947368421,0.1078626396416799,0.571830985915493,0.0568637443329193,0.6070588235294118,0.0437039426376628
0.9,Top40,0.9933879000601078,0.0031253220023153,0.9933879000601078,0.0031253220023153,0.7642640692640692,0.0848916893491933,0.5885057471264368,0.0448128475623401,0.4444444444444445,0.0785674201318386,0.4473684210526315,0.0670923620209577,0.5633802816901408,0.0467130252162732,0.5952941176470589,0.0395476148564038
0.9,Top70,0.9986791676409954,0.0013858599408034,0.9986791676409954,0.0013858599408034,0.7901666666666667,0.0589277056213451,0.5678160919540229,0.0738679035083201,0.3777777777777777,0.1490711984999859,0.3842105263157894,0.1436562533048019,0.532394366197183,0.0780388460687045,0.5694117647058823,0.0636817346010558
0.9,Top50,0.9936974097637152,0.0054365996024718,0.9936974097637152,0.0054365996024718,0.7566666666666666,0.0801741302195576,0.5678160919540229,0.0896256951246801,0.4222222222222222,0.1987615979999812,0.4052631578947368,0.1894005706889114,0.5380281690140845,0.1074491894240037,0.5741176470588234,0.0866125285614398
0.9,Top60,0.9950558713724732,0.0046610153990899,0.9950558713724732,0.0046610153990899,0.7671666666666667,0.0951970298370485,0.5632183908045978,0.1126202180589966,0.4666666666666667,0.2408831487630978,0.4263157894736841,0.2050268545345522,0.5295774647887324,0.1277737287892025,0.5670588235294117,0.1063388850680157
0.85,Top20,0.9679807586863092,0.0051629458714232,0.9679807586863092,0.0051629458714232,0.7237813852813852,0.0889434063955163,0.5586206896551724,0.0720571403156666,0.5333333333333334,0.1648044108243481,0.5210526315789473,0.0956100111820261,0.5549295774647887,0.088295369119197,0.5694117647058823,0.0746850364616653
0.9,Top90,0.9996683250414592,0.0007416477537313,0.9996683250414592,0.0007416477537313,0.772090909090909,0.0481802759736537,0.5494252873563219,0.0647158080931459,0.3555555555555555,0.1448711645600588,0.3368421052631578,0.1307870909451492,0.5098591549295775,0.0741278724898071,0.5505882352941176,0.0630263305222535
0.9,Top120,0.9990033167495854,0.0014842269100264,0.9990033167495854,0.0014842269100264,0.777521645021645,0.0536882662672564,0.535632183908046,0.0892564076244468,0.3777777777777777,0.1490711984999859,0.3578947368421052,0.1424459852918353,0.5014084507042254,0.1037866671940311,0.5388235294117647,0.0889772724761837
0.9,Top100,0.999334991708126,0.0009106048250401,0.999334991708126,0.0009106048250401,0.785069264069264,0.0484645529955621,0.5287356321839081,0.0713199634827061,0.4,0.0993807989999906,0.3684210526315788,0.0984646680729984,0.4929577464788732,0.06971475307473,0.5294117647058824,0.0649727118658074
0.9,Top130,0.9990033167495854,0.0014842269100264,0.9990033167495854,0.0014842269100264,0.7825692640692641,0.05249281662754,0.5287356321839081,0.0961678191418477,0.4,0.1685083432011455,0.3684210526315788,0.1567944116817498,0.4929577464788732,0.1122350524683748,0.5294117647058824,0.0952142003308155
0.7,Top10,0.9286028927273554,0.0772180637407676,0.9286028927273554,0.0772180637407676,0.6869220779220779,0.0898531834317258,0.5241379310344827,0.1960098735383191,0.5111111111111111,0.2788866755113585,0.5684210526315789,0.1670586341905671,0.5154929577464789,0.2076211128060937,0.5294117647058824,0.1942067531672844
0.85,Top30,0.9808412772074682,0.0053995862467706,0.9808412772074682,0.0053995862467706,0.710517316017316,0.0885878249296905,0.5218390804597701,0.075635328167182,0.4,0.0993807989999906,0.3947368421052631,0.1052631578947369,0.4957746478873239,0.083562799854599,0.5294117647058824,0.0734705646870399
0.8,Top15,0.9325393863305952,0.0345657990814595,0.9325393863305952,0.0345657990814595,0.7008051948051948,0.0917411295408,0.5172413793103449,0.1221855840544213,0.4888888888888888,0.2788866755113585,0.5157894736842105,0.1399940639817935,0.5183098591549296,0.1359720381537709,0.5270588235294118,0.1203800211038728
0.85,Top80,0.9983458343076622,0.001662636035777,0.9983458343076622,0.001662636035777,0.7462792207792208,0.0607480442989962,0.5057471264367817,0.0514038615517192,0.3555555555555555,0.1448711645600588,0.2894736842105262,0.1085027796215174,0.4676056338028169,0.0656102236555048,0.508235294117647,0.0515503583534274
0.85,Top25,0.9755861573660884,0.007984788255145,0.9755861573660884,0.007984788255145,0.7130649350649352,0.0950222090724712,0.4988505747126437,0.0935917378658496,0.3777777777777777,0.1490711984999859,0.4052631578947368,0.1228696582097763,0.4704225352112676,0.105680740745375,0.5058823529411764,0.0915079363888473
