model,feat,train_roc,train_roc_std,val_roc,val_roc_std,test_roc,test_roc_std,ext_roc,ext_roc_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
xgb,Estate,0.9964963662268416,0.0003277115392641,0.9964963662268416,0.0003277115392641,0.9304349197213172,0.0218780319413673,0.8270326593077397,0.0188804106525782,0.1703703703703703,0.0331269329999968,0.4557894736842106,0.0583949680980217,0.6599718309859155,0.0250480505409336,0.8011520455933239,0.0214095922905522
DMPNN,PharmacoPFP,0.9920815416429616,0.0073325029667563,0.9920815416429616,0.0073325029667563,0.9311354844078966,0.0239494944902221,0.8242746898505422,0.0353626446898765,0.0666666666666666,0.0292152088054302,0.5103157894736843,0.1337820703662967,0.6764882629107981,0.0740141893164407,0.8004600040708325,0.0417479205894338
DMPNN,Autocorr,0.9948812415801996,0.0056349598758042,0.9948812415801996,0.0056349598758042,0.9304056467970142,0.0260562570374193,0.8241476995213441,0.0321086191647104,0.5407407407407407,0.0876456264162906,0.508842105263158,0.0800510763389379,0.6930516431924882,0.0456600708801571,0.8010746997761041,0.0336559750498073
svm,Connectivity,0.8275175779323256,0.0065959547403771,0.8275175779323256,0.0065959547403771,0.8184990253587218,0.0262518411536312,0.8237341669108789,0.0128348907252884,0.4444444444444445,0.0868595511078413,0.5810526315789474,0.0174559199492389,0.6606760563380283,0.0278361514977097,0.7982658253612864,0.0159517520111947
rf,MHFP6,1.0,0.0,1.0,0.0,0.9343312268252836,0.0226269089335199,0.823004786558562,0.0088388508790367,0.1629629629629629,0.0576755981570275,0.512421052631579,0.0266676477197192,0.631887323943662,0.016294982687908,0.7910685935273764,0.0087532648953459
rf,Topology,0.9988884857986238,0.0001868378889827,0.9988884857986238,0.0001868378889827,0.8895671613933803,0.0280717500313972,0.8216502230471168,0.0257781871962631,0.0962962962962963,0.0202860206483394,0.5150526315789474,0.0800913605751653,0.652281690140845,0.0522562902893458,0.7934052513739059,0.0278380137389926
DMPNN,EstateFP,0.9857959936893048,0.0129601306090536,0.9857959936893048,0.0129601306090536,0.9376840897743092,0.0177020965541017,0.8213213506561168,0.0126443414979528,0.2962962962962963,0.1018050771757446,0.6183157894736843,0.0638465380795707,0.7118122065727699,0.0215395049714809,0.8018318746183594,0.0144064532014057
rf,PharmacoPFP,0.9893319743731148,0.0004330199074887,0.9893319743731148,0.0004330199074887,0.9091813014957428,0.0263795606968992,0.8195955846439386,0.0115125968108597,0.1037037037037037,0.0165634664999984,0.603578947368421,0.066593403880889,0.6759530516431924,0.038629603252398,0.7942967636881743,0.0172663497272923
xgb,Connectivity,0.999855317207362,3.2790889796416225e-05,0.999855317207362,3.2790889796416225e-05,0.9132416336110064,0.0258637924441165,0.819527205235909,0.0166203881786258,0.1259259259259259,0.0672811189799442,0.5471578947368421,0.0316700440440283,0.6352488262910798,0.0278434709978282,0.7916710767351922,0.0195569207182367
xgb,TorsionFP,0.9934924867538316,0.0002365490908491,0.9934924867538316,0.0002365490908491,0.9274153973925128,0.0283950167059589,0.8178209761974538,0.0171376649974265,0.0444444444444444,0.0662538659999937,0.4947368421052632,0.0703020787137062,0.6807323943661971,0.0295307328861947,0.7921270099735396,0.0195720825161861
rf,AvalonFP,0.9996685871686072,5.618287199450338e-05,0.9996685871686072,5.618287199450338e-05,0.9438782678688428,0.0243108253734201,0.8164924619843053,0.0122933312010944,0.0962962962962963,0.0202860206483394,0.3154736842105263,0.0489114186034927,0.5994553990610328,0.019840794407103,0.7849623447995115,0.0143560809322355
xgb,PharmacoErGFP,0.9788721089472154,0.0009241550853102,0.9788721089472154,0.0009241550853102,0.9238190579500312,0.0252694794638278,0.8142880401159195,0.0148461112092743,0.3925925925925925,0.0619748167803018,0.6749473684210526,0.0287061721817737,0.6830798122065728,0.0250831147207875,0.7945491553022593,0.0149400550501885
fcnn,MOE,0.9511194641233198,0.0052477068258432,0.9511194641233198,0.0052477068258432,0.9171958667293436,0.0258556344060345,0.8126501904854939,0.0268489822638254,0.2962962962962963,0.0261891400439462,0.4785263157894737,0.0800920523029924,0.6458591549295776,0.0493350436035532,0.7857520863016487,0.0293120151054677
rf,Property,0.9992933806100662,0.0001691449006768,0.9992933806100662,0.0001691449006768,0.8928222495392429,0.0277727012508627,0.8113216762723454,0.0138709885928413,0.3851851851851852,0.0202860206483394,0.3856842105263157,0.0300193843191869,0.6128262910798122,0.0236215654702351,0.7835538367596173,0.0147593854932326
