model,feat,train_EF_0.01,train_EF_0.01_std,val_EF_0.01,val_EF_0.01_std,test_EF_0.01,test_EF_0.01_std,ext_EF_0.01,ext_EF_0.01_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
fcnn,AvalonFP,1.280294627990138,0.003967633992230256,1.280294627990138,0.003967633992230256,1.2911345753132526,0.01857570757778124,0.8475920679886686,0.28423636659695223,0.0,0.0,0.0,0.0,0.2946666666666666,0.2689926337969815,0.9058823529411765,0.2706841262316127
fcnn,Charge,1.2620318658215584,0.04207363683822271,1.2620318658215584,0.04207363683822271,1.2911345753132526,0.01857570757778124,1.0968838526912181,0.13654273388230767,0.0,0.0,1.512,1.3802608449130187,1.2768888888888887,0.26899263379698163,1.1,0.1772043568399067
fcnn,Connectivity,1.280294627990138,0.003967633992230256,1.280294627990138,0.003967633992230256,1.2911345753132526,0.01857570757778124,1.246458923512748,0.0,0.0,0.0,1.512,1.3802608449130187,1.4733333333333332,0.0,1.2941176470588236,0.0
fcnn,Constitution,1.280294627990138,0.003967633992230256,1.280294627990138,0.003967633992230256,1.2911345753132526,0.01857570757778124,1.246458923512748,0.0,0.0,0.0,0.0,0.0,0.9822222222222219,0.0,1.2941176470588236,0.0
fcnn,Estate,1.280294627990138,0.003967633992230256,1.280294627990138,0.003967633992230256,1.0975914641524382,0.2875607191424484,0.9971671388101984,0.0,0.0,0.0,0.504,1.1269782606598941,1.375111111111111,0.21963156578997936,0.9705882352941175,0.0
fcnn,EstateFP,1.280294627990138,0.003967633992230256,1.280294627990138,0.003967633992230256,1.2911345753132526,0.01857570757778124,1.1467422096317281,0.2229733507308572,0.0,0.0,0.0,0.0,0.0,0.0,1.1647058823529413,0.28937350297056097
fcnn,Fragment,1.280294627990138,0.003967633992230256,1.280294627990138,0.003967633992230256,1.22734781060737,0.1521331307963284,1.0968838526912181,0.13654273388230767,0.0,0.0,0.0,0.0,0.9822222222222219,0.0,1.035294117647059,0.2706841262316127
fcnn,InfoContent,1.2528199521668566,0.0227293176072222,1.2528199521668566,0.0227293176072222,1.2911345753132526,0.01857570757778124,1.0968838526912181,0.13654273388230767,0.0,0.0,2.52,0.0,1.4733333333333332,0.0,0.9705882352941175,0.0
fcnn,Kappa,1.280294627990138,0.003967633992230256,1.280294627990138,0.003967633992230256,1.2911345753132526,0.01857570757778124,1.246458923512748,0.0,0.0,0.0,0.0,0.0,0.9822222222222219,0.0,1.2941176470588236,0.0
fcnn,MACCSFP,1.280294627990138,0.003967633992230256,1.280294627990138,0.003967633992230256,1.2261533019050128,0.1416986725630555,1.196600566572238,0.1114866753654286,0.0,0.0,0.0,0.0,0.0,0.0,0.8411764705882353,0.17720435683990665
