model,feat,train_prc,train_prc_std,val_prc,val_prc_std,test_prc,test_prc_std,ext_prc,ext_prc_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
DMPNN,Constitution,0.996340082375838,0.0048761512814175,0.996340082375838,0.0048761512814175,0.9782636644938152,0.0063173036117953,0.9527799374848072,0.0084000667137439,0.1880435305435304,0.0622811526737861,0.4268926723744454,0.0638378597960921,0.8098592060264913,0.0343613362088987,0.9360676514108144,0.0114289522781549
log,MOE,0.9612348228434066,0.0022386188290751,0.9612348228434066,0.0022386188290751,0.954767242236749,0.0185973975360854,0.9524457076414428,0.0043584866954332,0.1849326599326598,0.0124225998749988,0.4198063487251664,0.0237271539122446,0.8055360712613583,0.0129780885528549,0.9332828935273998,0.0058880249278379
xgb,MOE,0.9999623165951302,8.81140569397629e-06,0.9999623165951302,8.81140569397629e-06,0.973916530033153,0.0105705328593294,0.952036830522365,0.0051042454691924,0.1573520923520923,0.0161249842529527,0.4901283986558015,0.0666822480016643,0.8311439365160685,0.0175691535223747,0.9341243298359684,0.005960184339873
xgb,Matrix,0.9998632605855444,2.5721113876378345e-05,0.9998632605855444,2.5721113876378345e-05,0.958008752230312,0.0212707026703611,0.9513857914532756,0.0154505518913839,0.1538468013468013,0.0277615693452349,0.5446784918062655,0.0848625902497254,0.8327816106556227,0.0431225581405946,0.9334817386151082,0.020138051884803
rf,Topology,0.9997021944975244,4.770750512429456e-05,0.9997021944975244,4.770750512429456e-05,0.9618395149530926,0.0138384668329199,0.9513339707682232,0.0066970265456068,0.1455303030303029,0.0034440367101044,0.5611564545830062,0.0663510384614775,0.8220185622691387,0.0316496375769122,0.9326121595796204,0.007524093160877
xgb,Estate,0.9990363237195296,8.686542862772819e-05,0.9990363237195296,8.686542862772819e-05,0.9757694700120424,0.010493360881122,0.9513129955214752,0.0063198474242648,0.1533910533910533,0.0023662094999997,0.4172913327782209,0.0239714225614672,0.794418747570359,0.0173934904741959,0.931606947704164,0.0094029512960015
svm,Path,0.9179227438839946,0.006723851899084,0.9179227438839946,0.006723851899084,0.9161951570535763,0.0147542646862447,0.9506281774393904,0.0046613401407767,0.1955868205868205,0.0251920758880791,0.7035014207857512,0.0392496489911038,0.8158384499386889,0.0193794974831579,0.9363811264116751,0.0065167949328076
rf,InfoContent,0.9998730058726488,2.469110091515076e-05,0.9998730058726488,2.469110091515076e-05,0.9561411166246372,0.0140603049843993,0.9501882262734213,0.0070513172330932,0.2008585858585858,0.0233004438325031,0.4162690554398594,0.0208578090774411,0.818421056718908,0.014755958522232,0.9338247228228298,0.0051039166875419
rf,MHFP6,1.0,0.0,1.0,0.0,0.9767341052479968,0.0123263265584464,0.9496331833455066,0.0028522023090654,0.1496332371332371,0.0087859131499267,0.3792031871179471,0.0186591425426977,0.7670898962597958,0.0077434233067066,0.9263196617213076,0.0042881660378577
svm,MAP4,0.9989786952145896,0.0002927470231476,0.9989786952145896,0.0002927470231476,0.9654265640540542,0.0143666228170585,0.9494731440944524,0.0049404694345597,0.2199122174122173,0.0432346214429642,0.6803021730192477,0.0455235049710808,0.8363276018521215,0.0136183356426731,0.9329625661107478,0.0053165268368524
rf,AvalonFP,0.99991083438088,1.4755095032669546e-05,0.99991083438088,1.4755095032669546e-05,0.9784606745829656,0.0137265927656812,0.9491223949597012,0.0044073097915404,0.1464309764309763,0.0037344719829897,0.2961140054879648,0.0157652514670026,0.7384596431364618,0.0139046599866308,0.926610488228466,0.0069705840990409
xgb,Connectivity,0.9999595251573452,9.050966515059226e-06,0.9999595251573452,9.050966515059226e-06,0.968537023046321,0.0126297781049208,0.9489253679689054,0.0064317775168673,0.1472655122655122,0.0074798890300165,0.4584989425283362,0.0739681033072466,0.7764169880648408,0.0263158306997515,0.9280243309354896,0.0094528955137028
log,Autocorr,0.986340699536826,0.0015002429652914,0.986340699536826,0.0015002429652914,0.9550575895044474,0.018379475211176,0.9484388296695364,0.0063196402085791,0.5181589706589707,0.0994901299266383,0.6072054784881029,0.0563283642160544,0.8147421947489416,0.0254463547350139,0.9294933496643972,0.0087448328886997
log,MAP4,0.9999717328551584,9.215461233933336e-06,0.9999717328551584,9.215461233933336e-06,0.9702576224520052,0.0164732039772004,0.9483468216050004,0.0084381464949676,0.23765873015873,0.0392803026575757,0.6557903594774297,0.0558848300223298,0.8406273330446965,0.0179704878747797,0.9307866303623664,0.0103589742192014
rf,PharmacoPFP,0.9971130721071833,0.0001256755907293,0.9971130721071833,0.0001256755907293,0.9659040480802644,0.0125910760729984,0.9481670990353732,0.0027891543831898,0.1477946127946127,0.0030491836056815,0.5490266936405088,0.043399650751726,0.8277518770977934,0.0177332296475927,0.9283326962140828,0.0056336373363292
rf,Property,0.9998086936117762,4.3457883653956886e-05,0.9998086936117762,4.3457883653956886e-05,0.9620104550289956,0.0172321799312914,0.9477933868760562,0.0048541228892158,0.4112457912457912,0.1103314877543244,0.4405561616859911,0.0459497272277045,0.7790222936831569,0.019839541074235,0.9271209713783026,0.0061905254249802
DMPNN,Autocorr,0.9984857195523842,0.0017259065474532,0.9984857195523842,0.0017259065474532,0.9737444194025509,0.0118994445558297,0.9464042751621492,0.010624812804748,0.3603607503607503,0.1698846001052508,0.3910207012321594,0.0371650440755557,0.7880772514511809,0.0307446903415402,0.9262011209649512,0.01361111112012
rf,Constitution,0.999271653553665,4.673123705632878e-05,0.999271653553665,4.673123705632878e-05,0.9709519970566308,0.0114375419437677,0.9462512359421268,0.0019967416328576,0.1477946127946127,0.0030491836056815,0.2882932183581614,0.0120805474003998,0.7248902080674753,0.0119485559299282,0.9224751356075656,0.0025569191262719
DMPNN,PharmacoPFP,0.9977152734472196,0.0021132220561794,0.9977152734472196,0.0021132220561794,0.9709549724103548,0.017172940720165,0.9460263083599856,0.0112712842679759,0.1417508417508416,0.0045319248281863,0.5142699264576155,0.0765362580675617,0.804669295507012,0.0472438785393233,0.9242120473301114,0.0164768067492816
fcnn,MOE,0.9848834684961276,0.0018505020190122,0.9848834684961276,0.0018505020190122,0.9717781510152148,0.0113579388487354,0.9448251022133188,0.0084338582392345,0.2467171717171716,0.1155368574615856,0.4377784195281157,0.0429195954412039,0.7645981061684709,0.0337305848026354,0.9227948310455988,0.0109985369307838
rf,Estate,0.9996812799866768,2.3365103279634035e-05,0.9996812799866768,2.3365103279634035e-05,0.9764355612497844,0.005560235150164,0.944737055168022,0.0038396548806319,0.1508249158249157,0.0037267799624996,0.3144378386863139,0.0097088365007853,0.7369775398942063,0.0176421807472322,0.9208964320278822,0.0049842740360504
xgb,Constitution,0.9990675140864074,9.376886696000995e-05,0.9990675140864074,9.376886696000995e-05,0.9728089528004904,0.0126924099708921,0.9443893830804676,0.0131994517340698,0.1459932659932659,0.0041390909760579,0.4390648651708673,0.0919991551853497,0.8299257650195576,0.0479533686999545,0.9262439766144452,0.0175502452109713
fcnn,PharmacoErGFP,0.9833750519768276,0.0015829926229121,0.9833750519768276,0.0015829926229121,0.9661273975314052,0.0182696331849076,0.9441065070272708,0.0044850889373796,0.1549915824915824,0.0063190628700429,0.6732590553793024,0.0389141629046081,0.8106260594471978,0.0119228565373586,0.9231152097257226,0.0063692745314806
xgb,Property,0.9997758213228084,3.765492006328576e-05,0.9997758213228084,3.765492006328576e-05,0.957065951509516,0.015927816742669,0.94402329171436,0.0060262327247737,0.2928619528619528,0.1564655920050203,0.4727336862254934,0.0797920476646903,0.78359178975736,0.0174367154032558,0.926297841195718,0.005645532305651
log,MorganFP,0.9981499344278464,0.0002128268130917,0.9981499344278464,0.0002128268130917,0.9710576499152174,0.0113382475288733,0.9440186903919356,0.0073096314527999,0.1485449735449734,0.0088306050588652,0.3888241355938489,0.0752667206884344,0.8006878155287035,0.0337958508007718,0.924070509524052,0.0111551230500824
xgb,Topology,0.9991193470621578,0.0001026156202405,0.9991193470621578,0.0001026156202405,0.9525384182671432,0.0197825286050955,0.9431479873260358,0.0046973161449384,0.1596981721981721,0.018258863155926,0.6062579288881322,0.0405390067563198,0.8060200160379809,0.011884575866174,0.9226131728644118,0.0060235944308024
xgb,PharmacoErGFP,0.9939984558875988,0.000274102987683,0.9939984558875988,0.000274102987683,0.9692171485069988,0.0102030043879431,0.942878823878937,0.007463775639428,0.2024987974987974,0.0206050417074116,0.547363881571496,0.0632530479919756,0.7959428609800434,0.0248200115627947,0.9243212253965222,0.0083696478425517
xgb,PharmacoPFP,0.9966347325168474,0.0002062618920417,0.9966347325168474,0.0002062618920417,0.968412176369158,0.0136231744041778,0.9419566982937344,0.0055426013419713,0.1393097643097643,0.0010352166562499,0.4851809319996326,0.086477183470653,0.7943407528991896,0.0266460064723156,0.9236484250565876,0.0078345377746035
log,PharmacoErGFP,0.97950908494985,0.0011756985652027,0.97950908494985,0.0011756985652027,0.9615523528636216,0.0192655825213075,0.9416668863762072,0.0047052131834364,0.1513756613756613,0.0044082749391776,0.544135532852702,0.0247114142808147,0.8052929713460074,0.010347749831391,0.9193872530600532,0.0060247196220383
rf,Path,0.999763581854018,3.625207255764966e-05,0.999763581854018,3.625207255764966e-05,0.9515279163326136,0.0182000867243726,0.9415679177706008,0.00410057227728,0.1476430976430976,0.0082817332499992,0.506279655033721,0.033879461615573,0.7577131674919799,0.0070588324405866,0.9166949533751424,0.0058467495329943
fcnn,PharmacoPFP,0.981735037549744,0.0041898293882472,0.981735037549744,0.0041898293882472,0.96654957158915,0.0133675843010466,0.9411386113177482,0.0092015687570956,0.1363468013468013,0.0010143010324169,0.5646174554250665,0.0510587636341643,0.7812038345516356,0.035727298660441,0.9180307280828076,0.0127595059346871
DMPNN,EstateFP,0.9955693156338632,0.0042554506590352,0.9955693156338632,0.0042554506590352,0.9770715893248736,0.0082199126666882,0.9400426439700134,0.0091144751438842,0.1810341510341509,0.0247756189043869,0.5019417520849536,0.1006161957488042,0.8178185898410272,0.0396935011623409,0.9192580803942374,0.0139052358814365
DMPNN,MHFP6,0.999075996240126,0.0019313407207365,0.999075996240126,0.0019313407207365,0.9700431119837576,0.014299022839597,0.9395965168804988,0.0061285350512264,0.1566257816257816,0.0116209103454544,0.4401550347386861,0.0447454716769778,0.7946178718147024,0.0245698902082119,0.9184630638163694,0.0076760917725462
DMPNN,MorganFP,0.9996800564220146,0.0001882720002436,0.9996800564220146,0.0001882720002436,0.9677845276457196,0.0151548483987727,0.9389890897047092,0.0060908321235469,0.2601070226070225,0.104057713379628,0.4812340090903191,0.0254774422770388,0.8069021167097133,0.0176018199356867,0.915591083655829,0.0072916713630427
xgb,RDkitFP,0.9999450393579394,1.1646371282363036e-05,0.9999450393579394,1.1646371282363036e-05,0.9792115000645408,0.010367788569472,0.938923032142028,0.0095693628643368,0.1491582491582491,0.0,0.3801778300435049,0.0515433381458209,0.7928101203604017,0.0302474310865068,0.9188060868227892,0.0148929774667142
fcnn,Autocorr,0.9893707079388796,0.0108334502585073,0.9893707079388796,0.0108334502585073,0.9664680364017312,0.0188402089794336,0.9381480719448632,0.0188092357349279,0.2184102934102934,0.0442011962920637,0.3538507741438605,0.0597147416417063,0.74650695192451,0.0636810446703823,0.9133033981281216,0.0260150295797317
xgb,TorsionFP,0.9981470267158418,6.620774351975244e-05,0.9981470267158418,6.620774351975244e-05,0.9724736453963236,0.0120309008603577,0.937324157802436,0.0080640925777567,0.1386616161616161,0.0048511803323813,0.3743350306341293,0.0363401741470205,0.7800542753851092,0.0224706567195828,0.9136927610725042,0.0104971421835135
log,Connectivity,0.9470976499206047,0.0025594390646753,0.9470976499206047,0.0025594390646753,0.9358624802737754,0.0172929653885278,0.936576610107395,0.0028801485061342,0.1435618085618085,0.0042581924235686,0.3581814604700336,0.0344789736657525,0.7146495479662321,0.009678964748688,0.9105231664670884,0.0039720528008565
rf,MACCSFP,0.999513572485024,5.01368683556498e-05,0.999513572485024,5.01368683556498e-05,0.9706642116649392,0.0142850697527657,0.93641644872384,0.0027491421019711,0.1554797979797979,0.005831167821893,0.3155349634512565,0.01651272496623,0.7587410850630881,0.0163512542707727,0.906045095402089,0.0058060463479711
xgb,Charge,0.9999369578416496,1.132207881918855e-05,0.9999369578416496,1.132207881918855e-05,0.9734021621456694,0.0098447694913592,0.9359038937491828,0.0049943408072614,0.1441726791726791,0.0061613408756245,0.4485456378735613,0.0475169556756441,0.7723650832219867,0.0153109200931583,0.9124183459900792,0.0080696225634205
rf,PubChemFP,0.999621544705492,3.686679340342446e-05,0.999621544705492,3.686679340342446e-05,0.9774656996101768,0.0085846687889089,0.9356743710873724,0.0029397639150831,0.1423400673400673,0.0,0.298226495937712,0.0307234539871954,0.7046710641247537,0.0160483561553098,0.9087730967454654,0.0048508603624939
fcnn,RDkitFP,0.9916956670272128,0.0027544849520317,0.9916956670272128,0.0027544849520317,0.9726161573145364,0.0158178314359595,0.9353191006590904,0.0109321585403479,0.1477946127946127,0.0030491836056815,0.3426094638504455,0.0597507145682435,0.7355379265839539,0.0341302003371902,0.9093196556875728,0.0152075660174292
fcnn,TorsionFP,0.993868709156158,0.0035006928771591,0.993868709156158,0.0035006928771591,0.9727017508071616,0.0136474847034965,0.932979240288549,0.0106184843864399,0.171099086099086,0.017925382155979,0.4026375768869948,0.0274074152224618,0.7805216380809179,0.026757378675922,0.9075907873586312,0.0142639673007024
DMPNN,Fragment,0.9966157662666234,0.001097979603365,0.9966157662666234,0.001097979603365,0.9764652998634578,0.0126048630592771,0.9318736633700958,0.0142105099308725,0.4272522847522847,0.2550472624405793,0.5123250594080957,0.1424118320048066,0.7925417434364612,0.0606891559488331,0.908329270799662,0.0195601887198985
svm,MorganFP,0.9959962954511784,0.0004957835017434,0.9959962954511784,0.0004957835017434,0.9655905884048142,0.0103784683068093,0.9312609330657292,0.020866440540763,0.1368097643097642,0.0018402413809585,0.4873812773927021,0.1255999011230953,0.8172474454380225,0.0568571891240095,0.9131324756262542,0.0299807293469649
svm,Property,0.9230336327636608,0.0042616469385341,0.9230336327636608,0.0042616469385341,0.9219333512800124,0.0179258888372862,0.9295226059666482,0.0047104722318103,0.1423400673400673,0.0,0.4149385286286362,0.0366362251956999,0.7446030482791318,0.0162091537272585,0.9104426779960376,0.0063813967387601
log,Matrix,0.9375941768193964,0.0030139803806942,0.9375941768193964,0.0030139803806942,0.933397053440428,0.0158156007403815,0.9288333056111672,0.0049269502259152,0.1491582491582491,0.0,0.4022086091314374,0.0293525208305516,0.7025982225791385,0.0217910187191488,0.9029973654188672,0.0068051705138899
xgb,PubChemFP,0.99869742310481,0.0001549307693078,0.99869742310481,0.0001549307693078,0.9775999236609554,0.0098088548935697,0.927079803493468,0.0214750637519568,0.1427609427609427,0.0073444871319278,0.3252091098445531,0.0972112465201594,0.6870192363340086,0.0756890602669779,0.8995373376189416,0.0285963304631577
log,MHFP6,1.0,0.0,1.0,0.0,0.9604821083497536,0.0140729252745256,0.9267077463302316,0.0063929579198191,0.1736435786435786,0.0204581675715094,0.4498503664687879,0.070316466318897,0.78129090317626,0.0366782979526452,0.90384974941417,0.0088122907586024
fcnn,Charge,0.9412414996501862,0.025061701915267,0.9412414996501862,0.025061701915267,0.9310953210055304,0.0304887458015947,0.9255842562520362,0.0113187626155962,0.1424218374218374,0.0035984976570588,0.4541479429030178,0.1185886906234988,0.766169941566301,0.0355481237890381,0.8995816588997346,0.0156671284365891
