model,feat,train_TN,train_TN_std,val_TN,val_TN_std,test_TN,test_TN_std,ext_TN,ext_TN_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
svm,MHFP6,606.2,6.685805860178723,606.2,6.685805860178723,46.6,6.18869937870632,29.4,1.5165750888103098,2.6,0.5477225575051661,14.4,2.3021728866442674,23.2,1.4832396974191326,28.6,1.949358868961793
fcnn,EstateFP,237.2,14.720733677368122,237.2,14.720733677368122,29.0,4.898979485566356,29.4,0.8944271909999155,1.0,0.0,2.0,0.0,23.8,0.4472135954999581,29.4,0.8944271909999155
log,PharmacoPFP,511.4,9.370165420097983,511.4,9.370165420097983,60.8,4.54972526643093,28.4,4.39317652729776,1.0,0.0,4.4,1.51657508881031,17.2,4.764451699828639,27.0,4.358898943540674
rf,MOE,602.8,6.906518659932794,602.8,6.906518659932794,52.8,5.167204273105527,28.0,1.58113883008419,1.0,0.0,1.8,0.4472135954999579,20.4,1.3416407864998745,27.2,1.643167672515499
fcnn,RDkitFP,472.2,30.252272641902454,472.2,30.252272641902454,52.8,8.043631020876083,27.8,4.868264577855235,1.0,0.0,1.4,0.5477225575051661,18.0,3.6742346141747673,26.8,4.868264577855235
DMPNN,MHFP6,592.8,21.12818023399082,592.8,21.12818023399082,53.0,5.374838498865699,27.6,1.577621275493231,2.8,0.4216370213557839,12.6,1.07496769977314,18.8,1.8135294011647256,26.8,1.2292725943057183
DMPNN,EstateFP,513.6,42.54461710304189,513.6,42.54461710304189,57.2,5.750362307426086,27.4,11.364662579925351,0.6,0.5163977794943222,5.0,2.748737083745107,17.2,10.443498775155128,26.8,11.043348928452616
xgb,Path,565.0,10.908712114635708,565.0,10.908712114635708,45.2,3.898717737923585,27.4,4.722287581247038,2.0,1.5811388300841898,4.2,2.5884358211089573,22.0,3.2403703492039297,27.0,4.301162633521313
fcnn,Constitution,382.0,12.144957801491117,382.0,12.144957801491117,45.4,5.128352561983234,27.2,3.420526275297414,1.0,0.0,4.6,1.140175425099138,19.8,3.7013511046643495,27.2,3.420526275297414
rf,PharmacoPFP,571.8,6.180614856144984,571.8,6.180614856144984,56.2,5.403702434442518,27.0,2.449489742783178,1.0,0.0,2.4,0.5477225575051662,19.0,1.8708286933869709,25.4,2.073644135332772
rf,Constitution,597.2,8.228000972289687,597.2,8.228000972289687,53.0,5.477225575051661,27.0,4.0,1.0,0.0,1.2,0.4472135954999579,17.4,4.560701700396552,26.2,4.266145801540309
fcnn,InfoContent,257.6,14.432601983010551,257.6,14.432601983010551,32.4,4.037325847637271,26.6,2.302172886644268,1.0,0.0,2.0,0.0,18.2,1.7888543819998317,26.6,2.302172886644268
fcnn,Property,243.4,10.039920318408909,243.4,10.039920318408909,31.4,3.5071355833500366,26.4,1.5165750888103096,1.0,0.0,3.0,0.0,17.4,1.5165750888103096,26.4,1.5165750888103096
svm,Constitution,277.6,17.30028901492689,277.6,17.30028901492689,35.4,5.029910535983717,26.2,5.215361924162119,1.0,0.0,5.8,0.8366600265340756,20.2,5.06951674225463,26.0,4.949747468305833
fcnn,Charge,255.4,33.723878780472454,255.4,33.723878780472454,31.4,5.594640292279746,26.2,2.588435821108957,1.0,0.0,2.4,0.5477225575051661,21.2,1.4832396974191324,26.2,2.588435821108957
svm,MorganFP,549.4,5.549774770204641,549.4,5.549774770204641,50.6,5.412947441089743,26.0,4.415880433163924,1.8,1.0954451150103324,5.0,2.549509756796392,19.2,4.54972526643093,25.8,4.494441010848846
log,Fragment,468.6,9.181503144910424,468.6,9.181503144910424,58.4,8.414273587185052,25.8,0.8366600265340757,1.0,0.0,7.4,0.5477225575051661,17.6,0.547722557505166,25.8,0.8366600265340757
fcnn,MAP4,540.0,21.9317121994613,540.0,21.9317121994613,54.4,6.4265076052238514,25.8,8.167006795638168,2.8,1.6431676725154984,11.8,5.974947698515862,17.2,7.463243262818115,25.4,8.018728078691781
DMPNN,PharmacoPFP,540.0,31.98610809572041,540.0,31.98610809572041,58.2,5.094659513211412,25.6,2.8751811537130427,1.4,0.5163977794943222,5.4,2.716206504995115,18.0,3.126943839882286,25.6,2.8751811537130427
rf,Matrix,603.0,6.782329983125265,603.0,6.782329983125265,44.8,6.180614856144977,25.4,4.6690470119715,1.4,1.140175425099138,1.6,1.51657508881031,16.0,3.741657386773941,24.6,4.560701700396552
fcnn,Connectivity,266.4,47.574152646158616,266.4,47.574152646158616,34.8,10.61602562167217,25.2,1.30384048104053,1.8,1.095445115010332,2.0,1.0,15.6,1.140175425099138,25.2,1.30384048104053
xgb,Constitution,550.8,13.217412757419664,550.8,13.217412757419664,53.2,4.4944410108488455,25.0,2.4494897427831783,1.8,0.4472135954999579,2.6,0.5477225575051661,16.0,2.1213203435596424,24.6,2.3021728866442674
log,RDkitFP,605.0,6.819090848492933,605.0,6.819090848492933,59.8,6.016643582596529,24.4,1.949358868961793,1.0,0.0,1.6,0.8944271909999159,15.6,1.140175425099138,22.6,1.8165902124584952
DMPNN,,516.8,20.84946042467286,516.8,20.84946042467286,57.6,6.58027355054484,24.2,4.381780460041329,2.0,1.224744871391589,5.6,2.0736441353327724,15.2,3.5637059362410923,23.2,4.381780460041329
xgb,MHFP6,606.2,6.685805860178723,606.2,6.685805860178723,52.0,5.522680508593631,24.2,3.7013511046643495,0.4,0.5477225575051661,8.0,3.3166247903554,16.4,4.335896677735761,23.4,3.646916505762094
fcnn,MOE,426.4,9.607288899580356,426.4,9.607288899580356,49.8,4.494441010848846,24.2,0.8366600265340756,1.0,0.0,3.2,1.3038404810405295,16.8,1.3038404810405295,24.2,0.8366600265340756
