model,feat,train_FN,train_FN_std,val_FN,val_FN_std,test_FN,test_FN_std,ext_FN,ext_FN_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
DMPNN,RDkitFP,22.8,11.003029885748138,22.8,11.003029885748138,16.4,5.872724145478731,28.6,7.229568912920511,3.0,0.0,4.6,0.8432740427115678,26.8,7.254117604658903,26.8,7.254117604658903
xgb,TorsionFP,27.8,2.1679483388678804,27.8,2.1679483388678804,12.8,3.420526275297414,28.6,1.1401754250991378,2.6,0.5477225575051662,7.2,1.3038404810405295,23.6,1.3416407864998738,28.2,1.4832396974191326
DMPNN,AtomPairFP,16.0,7.512951779723097,16.0,7.512951779723097,14.6,3.0983866769659336,28.2,13.25644497342079,3.0,0.0,7.6,3.3065591380365986,25.0,11.450376024878446,26.8,12.813187650923474
fcnn,MACCSFP,75.2,8.012490249604053,75.2,8.012490249604053,14.4,4.03732584763727,28.2,6.379655163094633,0.6,0.5477225575051661,3.6,1.6733200530681511,26.0,7.035623639735144,28.2,6.379655163094633
xgb,RDkitFP,4.2,0.8366600265340756,4.2,0.8366600265340756,11.8,3.420526275297414,28.0,5.916079783099616,2.8,0.4472135954999579,3.8,0.4472135954999579,26.8,5.805170109479997,26.8,5.805170109479997
xgb,Matrix,17.0,2.0,17.0,2.0,20.0,2.121320343559643,27.6,5.8991524815010505,2.0,0.0,4.6,0.894427190999916,24.6,4.979959839195493,27.0,5.787918451395113
fcnn,Fragment,63.8,3.4928498393145966,63.8,3.4928498393145966,11.6,2.1908902300206647,27.6,4.6690470119715,0.0,0.0,3.0,1.5811388300841898,23.8,4.604345773288536,25.6,4.6690470119715
xgb,Autocorr,6.6,1.949358868961793,6.6,1.949358868961793,12.8,1.3038404810405295,27.2,6.906518659932804,2.6,0.5477225575051661,9.2,2.1679483388678804,26.0,7.245688373094719,26.6,7.092249290598858
log,MorganFP,107.6,9.126883367283709,107.6,9.126883367283709,28.0,2.23606797749979,26.6,5.366563145999495,2.4,0.5477225575051661,5.2,1.9235384061671343,22.0,4.301162633521313,25.8,5.019960159204453
xgb,Estate,19.8,1.095445115010332,19.8,1.095445115010332,15.4,3.5777087639996634,26.4,4.979959839195493,1.4,0.894427190999916,6.4,2.073644135332772,25.0,5.612486080160912,25.8,5.540758070878027
fcnn,Estate,89.2,18.806913622388976,89.2,18.806913622388976,15.0,5.656854249492381,26.4,5.029910535983716,2.0,0.0,4.4,0.5477225575051662,25.2,4.324349662087931,26.4,5.029910535983716
