model,feat,train_FP,train_FP_std,val_FP,val_FP_std,test_FP,test_FP_std,ext_FP,ext_FP_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
svm,MHFP6,0.0,0.0,0.0,0.0,31.6,5.727128425310541,57.6,1.5165750888103107,6.4,0.5477225575051661,23.6,2.302172886644268,47.8,1.4832396974191324,56.4,1.9493588689617931
svm,MOE,273.2,12.87245120402482,273.2,12.87245120402482,37.8,4.658325879540847,57.2,3.4205262752974144,6.8,1.0954451150103321,27.8,3.03315017762062,50.4,3.1304951684997055,55.2,3.4205262752974144
svm,Matrix,365.8,10.03493896344168,365.8,10.03493896344168,45.6,4.6690470119715,73.2,1.3038404810405282,8.0,0.0,35.8,0.44721359549995865,66.2,1.3038404810405282,71.2,1.3038404810405282
svm,MorganFP,56.8,2.7748873851023212,56.8,2.7748873851023212,27.6,4.979959839195493,61.0,4.415880433163924,7.2,1.0954451150103324,33.0,2.5495097567963922,51.8,4.549725266430929,59.2,4.494441010848846
svm,Path,558.2,56.353349501160984,558.2,56.353349501160984,70.4,8.988882021697691,81.6,5.272570530585627,8.4,0.547722557505166,37.2,0.8366600265340757,69.4,1.516575088810311,79.6,5.272570530585627
svm,PharmacoErGFP,249.0,15.47578754054216,249.0,15.47578754054216,37.0,4.847679857416329,50.4,0.8944271909999161,8.0,0.0,35.2,0.8366600265340751,45.2,0.8366600265340751,48.4,0.8944271909999161
svm,PharmacoPFP,257.0,6.819090848492928,257.0,6.819090848492928,34.4,6.348228099241551,72.6,3.130495168499705,8.0,0.0,36.2,0.8366600265340751,61.4,3.2863353450309973,70.6,3.130495168499705
svm,Property,487.2,17.28293956478469,487.2,17.28293956478469,62.0,5.612486080160911,68.2,1.6431676725154978,8.0,0.0,37.0,0.0,61.2,1.6431676725154978,66.2,1.6431676725154978
svm,PubChemFP,185.6,10.382677881933928,185.6,10.382677881933928,28.4,6.54217089351845,44.8,2.2803508501982757,8.0,0.0,31.2,0.44721359549995815,38.6,1.5165750888103096,42.8,2.2803508501982757
svm,RDkitFP,15.8,1.9235384061671346,15.8,1.9235384061671346,28.0,5.385164807134504,65.2,3.346640106136302,8.0,0.0,35.2,1.6431676725154993,55.8,3.492849839314596,64.2,2.7748873851023212
svm,Topology,405.8,23.85791273351464,405.8,23.85791273351464,53.2,4.549725266430929,75.2,1.6431676725154982,8.2,0.44721359549995815,36.8,0.44721359549995815,67.0,0.7071067811865476,73.2,1.6431676725154982
svm,TorsionFP,145.2,11.27829774389735,145.2,11.27829774389735,28.8,6.300793600809346,69.0,5.70087712549569,7.8,1.6431676725154984,32.2,5.35723809439155,59.0,6.041522986797286,67.0,5.70087712549569
xgb,AtomPairFP,17.2,3.03315017762062,17.2,3.03315017762062,19.4,4.39317652729776,29.6,4.03732584763727,4.4,0.8944271909999159,15.6,0.8944271909999159,23.4,2.701851217221259,28.2,3.3466401061363023
xgb,Autocorr,10.6,3.3615472627943226,10.6,3.3615472627943226,23.4,5.770615218501404,40.6,6.308724118235001,6.4,1.1401754250991378,22.6,3.7815340802378072,35.6,5.813776741499453,39.0,5.830951894845301
