model,feat,train_NPV,train_NPV_std,val_NPV,val_NPV_std,test_NPV,test_NPV_std,ext_NPV,ext_NPV_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
xgb,MorganFP,0.9684438171492332,0.0040345467538952,0.9684438171492332,0.0040345467538952,0.8077602273846857,0.0431454916893893,0.692289044167862,0.0594199243606002,0.6166666666666666,0.1118033988749895,0.7683333333333333,0.1214559311432609,0.6570872399627362,0.0580201598960242,0.6939191471062011,0.0581504055418581
rf,RDkitFP,0.9782697050200382,0.0050992351497333,0.9782697050200382,0.0050992351497333,0.8174533102401955,0.043670415053882,0.6902890506238542,0.0553069242533519,0.7,0.273861278752583,0.7,0.273861278752583,0.5606397397668745,0.0603524784085797,0.7001829996794592,0.0597924474025657
DMPNN,AtomPairFP,0.9738141706398686,0.0120581551762972,0.9738141706398686,0.0120581551762972,0.8029456327583965,0.0320182533842875,0.6832449604579157,0.0820856875120689,0.7054545454545454,0.0114991914915214,0.8017851756087049,0.0776013441751886,0.6700959554865802,0.0836193340495196,0.6933246816747209,0.0845470701702533
fcnn,MOE,0.8467276624151477,0.006641891657534,0.8467276624151477,0.006641891657534,0.7955742541991624,0.0325320410076711,0.6781483046188929,0.046623393587733,0.3333333333333333,0.0,0.4859523809523809,0.119914699463378,0.5981385281385281,0.045468870140281,0.6817519082224964,0.0444174285376539
rf,Estate,0.9417622566772874,0.0059137523980398,0.9417622566772874,0.0059137523980398,0.7922260928961748,0.0456516869399921,0.6728912783751493,0.0198205148683058,0.5,0.0,0.4533333333333333,0.1169045194450012,0.5472179090259586,0.055699244116417,0.6878655462184874,0.0290717804805501
DMPNN,Constitution,0.9523852719947704,0.032030621144172,0.9523852719947704,0.032030621144172,0.8020841406347372,0.0178352101830801,0.6697786015858305,0.121606692719981,0.4933333333333333,0.1797117032813842,0.6266945373467113,0.1449757378227477,0.6067248549191093,0.1374000336297686,0.6689264123410464,0.1217691684110425
xgb,AtomPairFP,0.9899124062586924,0.0012271335605811,0.9899124062586924,0.0012271335605811,0.8306074417020062,0.0214393600960232,0.6694388795696152,0.0828878083561443,0.6178571428571429,0.0763901772721694,0.711378684348651,0.0499010262144662,0.6495757625800378,0.0970699964276105,0.677885321348349,0.089761855895337
DMPNN,EstateFP,0.9429085262162534,0.0267016675406616,0.9429085262162534,0.0267016675406616,0.8206499356499357,0.0336424860744358,0.667375829789623,0.0967044829954603,0.2666666666666666,0.2383067843280802,0.7157142857142857,0.0693997588656635,0.6186385515958441,0.1319083101553803,0.6626918817616492,0.0977072223291167
rf,AvalonFP,0.97508478162005,0.00527774225738,0.97508478162005,0.00527774225738,0.8148529721768055,0.0333270088529594,0.6600395256916995,0.0272234187928171,,,,,0.4252680652680652,0.0764834509505075,0.6924720893141946,0.0227496182714408
DMPNN,Fragment,0.9463586133604014,0.0128773975138809,0.9463586133604014,0.0128773975138809,0.807725319545406,0.0218031905306006,0.6515281310941002,0.0472807688764486,0.9,0.2108185106778919,0.7936507936507937,0.2587728944050261,0.5811870917787518,0.0603677713514917,0.6536345973592532,0.0537020091220278
xgb,MACCSFP,0.9523731590183449,0.0054150681516432,0.9523731590183449,0.0054150681516432,0.7811381493279039,0.0253943239346351,0.6333047556204173,0.0429055368272464,0.5466666666666666,0.1192569587999887,0.6954545454545454,0.0992774776169473,0.6673630748885043,0.0621070900530337,0.6478507703599885,0.0498075265956067
xgb,Autocorr,0.989064288359096,0.0031327711670358,0.989064288359096,0.0031327711670358,0.8100989803035838,0.0234203579596682,0.6328462897172736,0.0725470193253665,0.4833333333333333,0.164991582276861,0.6222033139274519,0.0941420150519225,0.5804280718246128,0.085029466814099,0.636508985779028,0.0762905922485537
