model,feat,train_SP,train_SP_std,val_SP,val_SP_std,test_SP,test_SP_std,ext_SP,ext_SP_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
log,AvalonFP,0.9742442967284196,0.0031877175351915,0.9742442967284196,0.0031877175351915,0.8257445887445887,0.0883966672669611,0.5172413793103449,0.0398172599441121,0.1111111111111111,0.0,0.1105263157894736,0.0117687788289462,0.4647887323943662,0.041063041512995,0.5176470588235293,0.0407541366486794
fcnn,Autocorr,0.7797815709405431,0.0939348353560501,0.7797815709405431,0.0939348353560501,0.6497554112554113,0.117530244113288,0.5172413793103449,0.0998744091780619,0.1333333333333333,0.0496903994999953,0.2947368421052631,0.126753627145182,0.5014084507042254,0.105680740745375,0.52,0.0978665145556961
log,Path,0.7575458037091407,0.0122387782607235,0.7575458037091407,0.0122387782607235,0.7739480519480519,0.0680318862732468,0.5149425287356322,0.0235562086573784,0.3333333333333333,0.0,0.2315789473684209,0.0506194317412404,0.476056338028169,0.0288646500449566,0.5152941176470589,0.0241104723904932
log,Matrix,0.7664219045238421,0.011808511529744,0.7664219045238421,0.011808511529744,0.7748268398268399,0.0425360198113423,0.5126436781609195,0.0131054646563119,0.1111111111111111,0.0,0.2157894736842104,0.0432412545398815,0.4873239436619718,0.0160588088042132,0.5247058823529411,0.0134138285305781
xgb,Topology,0.9215004834156154,0.0111181580960516,0.9215004834156154,0.0111181580960516,0.6073116883116884,0.0526726262717799,0.5126436781609195,0.054884305224429,0.5333333333333334,0.1217161238900369,0.531578947368421,0.0730233522395348,0.4929577464788732,0.0422535211267605,0.52,0.0508747019069168
rf,PharmacoErGFP,0.91587569644173,0.0073569494847357,0.91587569644173,0.0073569494847357,0.7777878787878787,0.0554928005225949,0.5057471264367817,0.1065933160401804,0.3333333333333333,0.3142696805273544,0.2631578947368421,0.2404693010854877,0.4788732394366197,0.1287018794542047,0.5129411764705882,0.1105506819843153
log,EstateFP,0.7284788060323931,0.0106721199324206,0.7284788060323931,0.0106721199324206,0.7513073593073593,0.0620686414962626,0.5011494252873564,0.0062956615805191,0.1111111111111111,0.0,0.1263157894736841,0.0117687788289462,0.447887323943662,0.0062987830352107,0.5011764705882353,0.0064437947941784
DMPNN,Charge,0.8633406557943598,0.0400409806478023,0.8633406557943598,0.0400409806478023,0.7270909090909091,0.0710690525160483,0.4942528735632184,0.0866950842834081,0.2666666666666666,0.1194408555303488,0.2789473684210525,0.1031960783849315,0.4394366197183098,0.0954796155409289,0.4988235294117647,0.0903153516579437
rf,AtomPairFP,0.99339228602502,0.0023685957239822,0.99339228602502,0.0023685957239822,0.7439047619047618,0.0860432839448735,0.4850574712643678,0.0221096368524958,0.1111111111111111,0.0,0.2578947368421052,0.0655257873578354,0.4563380281690141,0.0308576088735304,0.4870588235294118,0.0213716495583352
svm,PubChemFP,0.6938182709529495,0.0170767358035808,0.6938182709529495,0.0170767358035808,0.6368571428571428,0.0828185460185449,0.4850574712643678,0.0262109293126239,0.1111111111111111,0.0,0.1789473684210525,0.0117687788289462,0.4563380281690141,0.021360212518455,0.4964705882352941,0.0268276570611561
