model,feat,train_f1,train_f1_std,val_f1,val_f1_std,test_f1,test_f1_std,ext_f1,ext_f1_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
DMPNN,PharmacoPFP,0.9784980735375216,0.0098760007081314,0.9784980735375216,0.0098760007081314,0.938104760992885,0.0139738619654231,0.894758811875166,0.0155932269403426,0.0,0.0,0.4989584871569913,0.062998548295259,0.7944579131026127,0.0357311474917376,0.8777187612791527,0.0179956001068606
DMPNN,MHFP6,0.9949158165713798,0.0101161221520898,0.9949158165713798,0.0101161221520898,0.9258712268910252,0.0136096123984767,0.8946030959820319,0.0094785199990968,0.08,0.1032795558988644,0.6039426074733811,0.0109816682965109,0.7968160581190428,0.0201657738092795,0.8755471427285102,0.0119341433726152
xgb,Estate,0.982488633882466,0.001528749162165,0.982488633882466,0.001528749162165,0.92681649602191,0.0075743399122478,0.8942641332484932,0.0065016585063232,0.2472527472527471,0.118334012242837,0.4898392793203764,0.0351089751352099,0.7833915384381689,0.0181469188774868,0.8752144172567119,0.0087943599399679
rf,Topology,0.9918202232339114,0.0006616315859118,0.9918202232339114,0.0006616315859118,0.9072519337780462,0.0167917326870768,0.894139398345539,0.0061069267348281,0.0333333333333333,0.0745355992499929,0.5071995298266235,0.0150471549979337,0.7980407597994332,0.0129197692860864,0.8758984465097903,0.0080050922172287
rf,AtomPairFP,0.9958285310855818,0.0008563968738149,0.9958285310855818,0.0008563968738149,0.9433885045722766,0.0110730864910171,0.8934468510583656,0.0063732597180269,0.0,0.0,0.5665427073877778,0.0188217462405769,0.7767953114787912,0.0131427671472344,0.8751840165927385,0.0074747915234828
fcnn,Matrix,0.8894841935131803,0.0032009431172821,0.8894841935131803,0.0032009431172821,0.8858441899379816,0.0055172307462232,0.8928170111540057,0.0021529399767277,0.1666666666666666,0.0,0.5314134587129004,0.0028911839850129,0.7948420734018027,0.0049990413245853,0.8758943418961248,0.0026223998305222
DMPNN,MAP4,0.996443170284926,0.0025566968854025,0.996443170284926,0.0025566968854025,0.939743363290838,0.010125701201621,0.8926973004149522,0.0092973720692944,0.0,0.0,0.6093729998814744,0.0452051458638007,0.770894352720783,0.0214594433841791,0.8732020512667737,0.0113153278700033
fcnn,Estate,0.9329597989848132,0.0100707943291234,0.9329597989848132,0.0100707943291234,0.9108377640628184,0.0163738915237369,0.8925539180322115,0.0058960935241741,0.1666666666666666,0.0,0.5138350357862553,0.0159209405526134,0.780306484885716,0.011257730245923,0.8726544407227743,0.0073822900612293
log,RDkitFP,0.9924573946063044,0.0006073895600316,0.9924573946063044,0.0006073895600316,0.9295749509489633,0.0078122728172127,0.892288493368666,0.0084094607065795,0.0666666666666666,0.0912870929175276,0.4872586078020474,0.0314043612811434,0.8050354372117055,0.0110807667869771,0.8743918000891613,0.0093701363362097
xgb,InfoContent,0.9937720463429794,0.0005344592910928,0.9937720463429794,0.0005344592910928,0.9062169712040336,0.0149371052295783,0.8922810279408114,0.0077824358856625,0.186060606060606,0.1293410579613597,0.4921664750889712,0.0323200598679595,0.7990176903106694,0.0178864397563517,0.8766672937230725,0.0103077931619355
