model,feat,train_TP,train_TP_std,val_TP,val_TP_std,test_TP,test_TP_std,ext_TP,ext_TP_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
rf,Connectivity,2149.4,6.877499545619748,2149.4,6.877499545619748,255.8,8.167006795638171,344.0,0.7071067811865476,2.2,0.4472135954999579,24.2,0.4472135954999581,143.4,1.5165750888103116,280.8,0.8366600265340772
rf,MorganFP,2149.0,6.442049363362563,2149.0,6.442049363362563,257.4,4.827007354458862,343.6,3.049590136395374,0.2,0.4472135954999579,22.0,0.7071067811865472,141.8,2.588435821108954,280.4,3.049590136395374
rf,Estate,2125.8,5.167204273105499,2125.8,5.167204273105499,254.2,5.357238094391547,343.6,1.949358868961792,2.0,0.0,23.2,0.4472135954999578,141.6,1.6733200530681531,280.6,1.673320053068145
rf,Constitution,2096.6,7.829431652425372,2096.6,7.829431652425372,251.2,6.260990336999409,343.6,0.8944271909999183,0.4,0.5477225575051661,22.2,0.8366600265340753,141.6,1.3416407864998727,280.6,1.341640786499878
rf,MACCSFP,2127.4,9.126883367283696,2127.4,9.126883367283696,253.6,5.89915248150105,343.4,2.0736441353327697,3.0,0.0,24.0,0.0,143.8,2.1679483388678773,280.2,1.9235384061671297
rf,Path,2135.0,8.631338250816043,2135.0,8.631338250816043,251.4,8.677557259966656,343.4,2.509980079602222,1.2,0.4472135954999579,23.2,0.4472135954999581,143.0,2.345207879911715,280.2,2.949576240750523
fcnn,Matrix,2045.8,15.287249589118389,2045.8,15.287249589118389,254.6,4.037325847637269,343.2,1.4832396974191384,1.0,0.0,22.0,0.0,142.2,1.483239697419131,280.2,1.4832396974191384
fcnn,TorsionFP,2124.4,21.07842498859909,2124.4,21.07842498859909,257.4,3.2093613071762364,343.0,2.9154759474226526,2.0,0.0,24.0,0.0,140.0,2.915475947422649,279.0,2.9154759474226526
rf,RDkitFP,2149.4,6.877499545619748,2149.4,6.877499545619748,256.6,5.12835256198324,342.6,3.911521443121583,2.4,0.5477225575051661,24.4,0.5477225575051664,140.4,3.7815340802378095,279.4,3.781534080237804
DMPNN,InfoContent,2135.2,7.899367063252582,2135.2,7.899367063252582,255.2,5.2238768064426,342.6,8.500980335624046,1.6,0.8432740427115678,22.0,1.4907119849998598,140.6,8.369255907453448,278.6,8.500980335624046
rf,PubChemFP,2131.8,6.260990336999417,2131.8,6.260990336999417,253.4,5.366563145999495,342.2,7.854934754662192,1.6,0.5477225575051661,23.6,0.547722557505166,140.8,7.59605160593318,279.0,7.842193570679061
DMPNN,Topology,2113.0,17.888543819998308,2113.0,17.888543819998308,252.4,5.232377832092957,341.6,5.232377832092955,1.4,0.8432740427115678,22.2,1.0327955589886446,140.4,5.94792213951879,277.8,5.391351098441528
fcnn,MOE,2085.6,9.37016542009799,2085.6,9.37016542009799,256.0,5.787918451395113,341.4,2.408318915758455,1.0,0.0,21.8,0.4472135954999578,138.6,2.302172886644266,277.6,2.302172886644273
DMPNN,Fragment,2133.6,10.057611821677934,2133.6,10.057611821677934,255.6,5.601587076693328,340.2,3.489667287547308,2.8,0.4216370213557839,24.0,0.9428090415820634,138.2,2.936362072739368,276.4,3.6270588023294543
fcnn,RDkitFP,2118.0,12.14495780149112,2118.0,12.14495780149112,257.0,5.999999999999998,340.0,6.670832032063167,1.8,0.8366600265340756,23.4,1.1401754250991378,137.0,6.670832032063167,276.0,6.670832032063167
xgb,MOE,2158.2,6.610597552415372,2158.2,6.610597552415372,255.2,4.604345773288532,339.8,2.7748873851023235,1.0,0.0,22.2,0.4472135954999576,138.0,2.915475947422652,276.2,2.949576240750522
DMPNN,Property,2120.8,22.20510451825584,2120.8,22.20510451825584,253.2,3.735713526965841,339.8,11.76435293588219,1.2,0.4216370213557839,21.2,0.4216370213557839,137.8,10.293471501663348,276.4,11.107554986484544
DMPNN,MOE,2131.4,18.42220881918829,2131.4,18.42220881918829,257.8,5.223876806442594,339.6,4.402019738458451,1.0,0.0,20.8,1.5491933384829668,137.4,4.695151163109069,276.0,4.371625682867999
xgb,MHFP6,2162.8,6.6858058601787045,2162.8,6.6858058601787045,259.2,3.27108544675922,338.8,3.701351104664353,2.4,0.5477225575051661,24.0,1.2247448713915887,137.4,4.159326868617085,275.4,3.781534080237804
svm,MorganFP,2152.8,7.758865896508326,2152.8,7.758865896508326,257.6,4.037325847637272,337.4,5.176871642217908,0.0,0.0,21.4,0.547722557505166,137.8,4.207136793592528,274.4,5.176871642217908
svm,InfoContent,2083.6,15.899685531481412,2083.6,15.899685531481412,257.2,7.293833011524184,337.4,2.8809720581775897,0.2,0.447213595499958,22.2,0.4472135954999581,134.4,2.8809720581775844,273.4,2.8809720581775897
fcnn,PharmacoPFP,2099.0,13.095800853708845,2099.0,13.095800853708845,259.2,3.633180424916989,336.8,3.114482300479482,0.0,0.0,20.0,0.7071067811865476,135.4,2.302172886644265,273.8,3.114482300479482
DMPNN,EstateFP,2131.8,15.526321736543563,2131.8,15.526321736543563,256.4,3.74759181934805,336.6,14.12011960918808,1.6,0.5163977794943222,23.0,1.1547005383792517,136.4,13.993649353268156,272.6,14.12011960918808
