model,feat,train_SP,train_SP_std,val_SP,val_SP_std,test_SP,test_SP_std,ext_SP,ext_SP_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
fcnn,MAP4,0.890727684192702,0.03259080514653409,0.890727684192702,0.03259080514653409,0.696034632034632,0.07965420666115894,0.296551724137931,0.09387364132917436,0.31111111111111106,0.18257418583505536,0.31052631578947365,0.1572354657504174,0.24225352112676052,0.1051161022932129,0.29882352941176465,0.09433797739637395
fcnn,MHFP6,0.16966921201663213,0.24423080903956756,0.16966921201663213,0.24423080903956756,0.13866666666666666,0.20797435739372616,0.011494252873563201,0.02570193077585961,0.0,0.0,0.010526315789473679,0.023537557657892515,0.0084507042253521,0.018896349105631996,0.01176470588235294,0.026306682088232818
fcnn,MOE,0.7034303616977242,0.015785210965394866,0.7034303616977242,0.015785210965394866,0.6375974025974026,0.06033817185851303,0.2781609195402298,0.009616781914184767,0.11111111111111112,0.0,0.08421052631578943,0.03431159160632972,0.23661971830985912,0.01836395043719056,0.28470588235294114,0.009843059135695012
fcnn,Matrix,0.3540967535364775,0.03458524828481028,0.3540967535364775,0.03458524828481028,0.3432186147186147,0.04170031221546591,0.16551724137931031,0.006295661580519192,0.11111111111111112,0.0,0.057894736842105235,0.011768778828946256,0.076056338028169,0.007714402218382611,0.1694117647058823,0.006443794794178463
fcnn,MorganFP,0.9065481731848024,0.019485742160804828,0.9065481731848024,0.019485742160804828,0.6819155844155844,0.07956409579259192,0.17931034482758618,0.04191858052600108,0.08888888888888888,0.049690399499995326,0.05789473684210524,0.02201736911931777,0.13521126760563373,0.04057707124193783,0.18117647058823524,0.04448863623809187
fcnn,Path,0.1749782507180325,0.10634067553181262,0.1749782507180325,0.10634067553181262,0.20350649350649347,0.12186072600942043,0.10574712643678157,0.0677088573564282,0.08888888888888888,0.049690399499995326,0.021052631578947358,0.011768778828946256,0.05070422535211265,0.030857608873530486,0.10823529411764701,0.06930200694128534
fcnn,PharmacoErGFP,0.65492451024329,0.011178011818841854,0.65492451024329,0.011178011818841854,0.6113722943722945,0.05970056322746652,0.5241379310344827,0.09907752615866647,0.28888888888888886,0.14907119849998596,0.2842105263157894,0.21003231514984122,0.4957746478873239,0.120090556322773,0.536470588235294,0.10140876206828207
fcnn,PharmacoPFP,0.650327524034976,0.03667465203258184,0.650327524034976,0.03667465203258184,0.6132532467532468,0.0675597921396457,0.19770114942528733,0.020561544620687697,0.11111111111111112,0.0,0.11052631578947363,0.04707511531578504,0.1859154929577464,0.02314320665514787,0.20235294117647057,0.021045345670586267
fcnn,Property,0.40147581967044976,0.014567259101634498,0.40147581967044976,0.014567259101634498,0.4011147186147186,0.033419035481257034,0.30344827586206896,0.01743189757253232,0.11111111111111112,0.0,0.0789473684210526,0.0,0.24507042253521125,0.021360212518455088,0.3105882352941176,0.017842059868356564
fcnn,PubChemFP,0.7578313726513725,0.019192378584182986,0.7578313726513725,0.019192378584182986,0.6700064935064936,0.0790617666142257,0.3839080459770115,0.04191858052600109,0.11111111111111112,0.0,0.05789473684210524,0.03431159160632972,0.33239436619718304,0.04939627582183149,0.38823529411764707,0.04159451654038517
fcnn,RDkitFP,0.7787049331026915,0.04394890843051455,0.7787049331026915,0.04394890843051455,0.675012987012987,0.09502896854697658,0.3195402298850575,0.05595706411327855,0.11111111111111112,0.0,0.03684210526315788,0.014413751513293839,0.2535211267605634,0.05174978329823614,0.3152941176470588,0.05727370091594394
fcnn,Topology,0.20740724269691943,0.09113973649974538,0.20740724269691943,0.09113973649974538,0.2319480519480519,0.11074209068022076,0.12643678160919536,0.0181740095411976,0.11111111111111112,0.0,0.03684210526315788,0.023537557657892515,0.04507042253521122,0.015428804436765257,0.1294117647058823,0.018601633295108132
fcnn,TorsionFP,0.8221760469949719,0.04254443990542786,0.8221760469949719,0.04254443990542786,0.6697229437229437,0.08046422951942417,0.1494252873563218,0.03897890794899581,0.0,0.0,0.03684210526315788,0.023537557657892515,0.0901408450704225,0.035351832107073655,0.1505882352941176,0.03664096824093514
log,AtomPairFP,0.9950663016770903,0.00256500954633226,0.9950663016770903,0.00256500954633226,0.8021709956709957,0.06468691020758988,0.7057471264367816,0.04269925430116484,0.9111111111111111,0.04969039949999535,0.7947368421052632,0.060009232899954655,0.7154929577464789,0.03362629967975584,0.7035294117647058,0.035684119736713184
log,Autocorr,0.8864986090970268,0.011490536397315627,0.8864986090970268,0.011490536397315627,0.8030757575757577,0.0657095749370959,0.760919540229885,0.06770885735642823,0.5333333333333333,0.14487116456005888,0.6473684210526315,0.17013926184468015,0.7323943661971831,0.09073308962482485,0.7576470588235293,0.07185144228048222
log,AvalonFP,0.9742442967284196,0.0031877175351915964,0.9742442967284196,0.0031877175351915964,0.8257445887445887,0.08839666726696119,0.5172413793103449,0.03981725994411213,0.11111111111111112,0.0,0.11052631578947363,0.011768778828946256,0.4647887323943662,0.04106304151299508,0.5176470588235293,0.040754136648679426
log,Charge,0.7156383729013382,0.008969321511985625,0.7156383729013382,0.008969321511985625,0.7097640692640692,0.05043773572681129,0.7471264367816092,0.045977011494252866,0.6222222222222221,0.09938079899999064,0.6789473684210526,0.06282808624375431,0.7661971830985915,0.04295197375204765,0.7576470588235293,0.04126041862764746
