model,feat,train_BA,train_BA_std,val_BA,val_BA_std,test_BA,test_BA_std,ext_BA,ext_BA_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
svm,Connectivity,0.6783989922035539,0.0116921434685016,0.6783989922035539,0.0116921434685016,0.6582018411929236,0.0264805547150504,0.6494936667643516,0.0375209188925522,0.5,0.0392837100659193,0.5585263157894736,0.0570942264377124,0.598150234741784,0.0438807633395129,0.6441522491349481,0.0385363680651596
rf,MOE,0.9940969563904508,0.0007830243789786,0.9940969563904508,0.0007830243789786,0.8158790610251202,0.0341286321879826,0.6484549509947576,0.008882832204202,0.3555555555555554,0.0745355992499929,0.4836842105263158,0.010151211327361,0.6169953051643192,0.0084468561922338,0.646159169550173,0.0092057131127027
xgb,AvalonFP,0.9786061778543412,0.0035701951803961,0.9786061778543412,0.0035701951803961,0.8455030703339826,0.0337522389128842,0.6478265116733418,0.0320868801692839,0.2888888888888888,0.0912870929175276,0.4543157894736842,0.0454942083312783,0.5604225352112676,0.0222283489096706,0.6417301038062284,0.0299028811564558
xgb,EstateFP,0.7509491715541452,0.0070689224420634,0.7509491715541452,0.0070689224420634,0.7244793288351287,0.0329600632376746,0.64402982644655,0.0147061812946854,0.3777777777777777,0.1204415743815488,0.4555789473684211,0.040295996240562,0.5762816901408451,0.0226426283806189,0.6386159169550173,0.0154872800916712
fcnn,MACCSFP,0.8034555003473931,0.0036858862449747,0.8034555003473931,0.0036858862449747,0.7558416553721263,0.0564346088368839,0.6428152779134513,0.011149574676506,0.4555555555555555,0.0912870929175277,0.4674736842105263,0.033466401061363,0.5893896713615023,0.024751826453453,0.6347404844290658,0.0147406468792321
log,InfoContent,0.7450231966243634,0.0046764522424549,0.7450231966243634,0.0046764522424549,0.7459081903052893,0.0272729950375234,0.6427175930448373,0.008712866038543,0.0555555555555554,0.0,0.311578947368421,0.0161150640972577,0.4829295774647886,0.0121774933508497,0.6214532871972318,0.0092911568042198
rf,Constitution,0.9772604841141016,0.0015004653172108,0.9772604841141016,0.0015004653172108,0.8059306345440846,0.0273818261190943,0.6418579662010355,0.0221218079821857,0.1222222222222221,0.0912870929175277,0.4597894736842106,0.0125192372746528,0.5945352112676057,0.0295489019249879,0.6395847750865051,0.0237895250003563
fcnn,RDkitFP,0.8789939994015932,0.0230394173379472,0.8789939994015932,0.0230394173379472,0.8155152155961278,0.046679792293351,0.6413565172088177,0.0192728454033392,0.3555555555555555,0.1394433377556792,0.4864210526315789,0.0183056535777499,0.5834272300469483,0.0060986800963621,0.6351557093425606,0.0180936105592721
DMPNN,AvalonFP,0.9642900869573444,0.0281123102976735,0.9642900869573444,0.0281123102976735,0.8428973331263716,0.0268761080939072,0.6386311093744912,0.0299423121388872,0.3444444444444444,0.0682929219058731,0.4273684210526315,0.0259649122807017,0.5453708920187793,0.0289295116025809,0.6303114186851211,0.0275743788080343
fcnn,MAP4,0.940229531805371,0.0175664982232442,0.940229531805371,0.0175664982232442,0.8245705045826792,0.0396455146672348,0.6369444173097587,0.0463805523333743,0.3222222222222221,0.0912870929175276,0.6152631578947368,0.0786177328752087,0.5944600938967136,0.0511402203384032,0.6355709342560554,0.0464785875055885
xgb,Fragment,0.8487141056082181,0.0102194512701403,0.8487141056082181,0.0102194512701403,0.761791900204126,0.0405513075625357,0.6361075836019667,0.0078059742239239,0.3555555555555554,0.0745355992499929,0.4054736842105263,0.034353144021401,0.5478497652582159,0.0122876684994444,0.6289965397923876,0.0083955504392692
DMPNN,EstateFP,0.91648523723483,0.0360433525940009,0.91648523723483,0.0360433525940009,0.8427709840994311,0.036599476741477,0.6342418026114423,0.0473412062667611,0.2999999999999999,0.095149870953075,0.5257894736842105,0.0179153647876768,0.575793427230047,0.0336605800122451,0.6292733564013842,0.043194948127678
fcnn,Connectivity,0.6992278659969635,0.0421521875497721,0.6992278659969635,0.0421521875497721,0.6966111894597372,0.062819917914076,0.63406271368565,0.011575958041692,0.2999999999999999,0.0745355992499929,0.4863157894736842,0.0155419190107719,0.5851924882629108,0.0131606887896783,0.6350865051903114,0.0128275267943932
DMPNN,,0.9141338451752328,0.0153236138179108,0.9141338451752328,0.0153236138179108,0.840637391946404,0.0340213835774485,0.6336980235094918,0.0246811409458291,0.6111111111111112,0.0680413817439771,0.5576842105263158,0.0273040741533925,0.5957089201877934,0.0258000251341118,0.6298961937716263,0.0252210922628148
xgb,Constitution,0.948573801375522,0.0053315212412941,0.948573801375522,0.0053315212412941,0.8066686900843099,0.0196157814070612,0.6323467161603334,0.0127887146962507,0.2,0.0842541716005727,0.4782105263157895,0.0179279876835709,0.5880093896713615,0.0124681524686899,0.6319031141868512,0.0119374655206603
DMPNN,MHFP6,0.9871335393179874,0.0255871460740102,0.9871335393179874,0.0255871460740102,0.8104098871353929,0.0360864512350658,0.6314252222330762,0.0131949572566089,0.2222222222222221,0.0979907892986885,0.6017894736842105,0.014979620915844,0.5790610328638498,0.0193873661195121,0.6254671280276817,0.0142697850669386
svm,PubChemFP,0.8351183873713695,0.0077733953320051,0.8351183873713695,0.0077733953320051,0.7975540042474413,0.0398412064908372,0.6311972908729772,0.0199207573899076,0.0555555555555554,0.0,0.3574736842105263,0.0246425976254235,0.4881690140845071,0.0291530772887664,0.6125951557093425,0.0218768872754025
