model,feat,train_accuracy,train_accuracy_std,val_accuracy,val_accuracy_std,test_accuracy,test_accuracy_std,ext_accuracy,ext_accuracy_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
DMPNN,TorsionFP,0.9559407728421814,0.03842907480126528,0.9559407728421814,0.03842907480126528,0.8806916426512968,0.013530694994550611,0.7886363636363637,0.03145536286670714,0.14999999999999997,0.10243938285880987,0.35238095238095235,0.051188938084435205,0.6343891402714933,0.05340303792435548,0.7561497326203208,0.03637412032993853
fcnn,AtomPairFP,0.9687251715420728,0.006371865568066254,0.9687251715420728,0.006371865568066254,0.906628242074928,0.01420606056929826,0.8868181818181817,0.01238584235767153,0.6333333333333334,0.11180339887498947,0.7174603174603175,0.028394513999997307,0.8126696832579186,0.02511210303260019,0.8721925133689841,0.014571579244319482
fcnn,Autocorr,0.9339833875045143,0.027190599381219108,0.9339833875045143,0.027190599381219108,0.8812680115273774,0.0318570918857302,0.7931818181818182,0.02736726040634614,0.31666666666666665,0.06972166887783965,0.44761904761904764,0.0900714981530864,0.6669683257918552,0.03820784042096752,0.762566844919786,0.031032173566746847
fcnn,AvalonFP,0.9600577825929939,0.003643769810221609,0.9600577825929939,0.003643769810221609,0.8997118155619598,0.016975995936626145,0.8068181818181819,0.01498966586167378,0.2833333333333333,0.045643546458763826,0.365079365079365,0.011223917161691212,0.6461538461538462,0.026461885099028873,0.7780748663101604,0.017634901013733835
fcnn,Charge,0.8421812928855182,0.01876544753595751,0.8421812928855182,0.01876544753595751,0.8236311239193084,0.023180492855550665,0.7704545454545455,0.008947736220467972,0.11666666666666663,0.045643546458763826,0.36190476190476184,0.017388017698576654,0.6153846153846154,0.015007351992558364,0.7352941176470589,0.010526748494668224
fcnn,Connectivity,0.844781509570242,0.021455860740539814,0.844781509570242,0.021455860740539814,0.8357348703170029,0.025040557920724443,0.8422727272727272,0.01120341594896931,0.24999999999999994,0.08333333333333336,0.3968253968253968,0.015873015873015903,0.7158371040723981,0.016439730429488653,0.8197860962566844,0.013180489351728593
fcnn,Constitution,0.8894907908992415,0.0029450174124774193,0.8894907908992415,0.0029450174124774193,0.8657060518731988,0.02064092746912964,0.8168181818181818,0.012090396434791269,0.1666666666666666,0.0,0.4,0.00709862849999934,0.6787330316742082,0.01534463797087167,0.7903743315508021,0.013315400639560137
fcnn,Estate,0.8923799205489346,0.01614062837131559,0.8923799205489346,0.01614062837131559,0.8570605187319884,0.024673031461676057,0.8213636363636363,0.008288446604004742,0.1666666666666666,0.0,0.3809523809523809,0.027492869961410746,0.6823529411764706,0.00980972099035238,0.795187165775401,0.009751113651770268
fcnn,EstateFP,0.8334416756951969,0.0049014193072801845,0.8334416756951969,0.0049014193072801845,0.8230547550432277,0.015465599844378975,0.7931818181818182,0.011249426064331478,0.31666666666666665,0.03726779962499649,0.39365079365079364,0.007098628499999354,0.6389140271493213,0.020586992155796097,0.7620320855614974,0.013234618899213464
fcnn,Fragment,0.8710725893824485,0.004951718743518317,0.8710725893824485,0.004951718743518317,0.8438040345821326,0.015029861452916779,0.7727272727272727,0.01101745422140074,0.3333333333333333,0.0,0.41587301587301584,0.02354348726062116,0.6262443438914027,0.02184166223737044,0.7433155080213905,0.012961710848706773
fcnn,InfoContent,0.8353918382087396,0.005952807839404703,0.8353918382087396,0.005952807839404703,0.8230547550432277,0.014918938450195698,0.8163636363636364,0.009828067413836183,0.25,0.0,0.38730158730158726,0.014197256999998683,0.6733031674208145,0.016748195043730086,0.7893048128342246,0.011562432251572016
