model,feat,train_Precision,train_Precision_std,val_Precision,val_Precision_std,test_Precision,test_Precision_std,ext_Precision,ext_Precision_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
xgb,MOE,0.9941973587367852,0.0008855319283425,0.9941973587367852,0.0008855319283425,0.9228299831539372,0.0185858693734223,0.8673941393948368,0.0094884767029956,0.1338888888888888,0.0312052148221857,0.4261010090237414,0.0353507263674568,0.7528782682061571,0.0179392656175887,0.8458280376224607,0.010524670380055
xgb,MACCSFP,0.9677476240752736,0.0021130234392848,0.9677476240752736,0.0021130234392848,0.917605047879357,0.014639662287229,0.8672929736196384,0.0066229484803398,0.1365079365079364,0.0141972569999986,0.4328130613548361,0.0310427185687393,0.7614567783311307,0.0093916757383113,0.8465332336086604,0.0075942675235903
log,MHFP6,1.0,0.0,1.0,0.0,0.9150436839803264,0.0152602135116047,0.8668740470132663,0.0133710826206193,0.0869047619047618,0.0806981301432491,0.4364924506387921,0.0801325722173005,0.7381793355438145,0.0280700074514355,0.8413155482451407,0.0170189059523397
rf,MorganFP,0.9985134314491808,0.0003866144482342,0.9985134314491808,0.0003866144482342,0.9162197691387512,0.0207190681307303,0.8664411450325582,0.0070567699593596,0.0222222222222222,0.0496903994999953,0.3946248163627385,0.0135859603279887,0.7536280287980526,0.0100847195405968,0.844158216999884,0.0074607796277097
DMPNN,MOE,0.968096577562176,0.0152264514402099,0.968096577562176,0.0152264514402099,0.9287994459238272,0.0156521971016885,0.8664376128745618,0.0069194492923144,0.1111111111111111,0.0,0.3874518934047065,0.0165591221283844,0.7521499015727475,0.0134751745045848,0.8447347507675648,0.0085822659468464
DMPNN,RDkitFP,0.9907468534930692,0.0042061451202488,0.9907468534930692,0.0042061451202488,0.9368632593130432,0.0212172608153354,0.8664254837636163,0.0019518603649026,0.0,0.0,0.3628879015721121,0.011003654853796,0.7303281573996966,0.0107489676042342,0.8408616823870485,0.0031436351508484
xgb,Estate,0.9742753868085332,0.0028493761898717,0.9742753868085332,0.0028493761898717,0.9115630267389327,0.0118347895128047,0.8654032399251159,0.0020929078839903,0.1612121212121212,0.0732640126490061,0.3655871470819665,0.0209649307585545,0.739610133525396,0.006312044112101,0.8425164933543782,0.0017985630771534
svm,Autocorr,0.9263810642718872,0.0054965394807717,0.9263810642718872,0.0054965394807717,0.9000737810182324,0.0265265041504281,0.8645508570471762,0.0136666333356943,0.173116883116883,0.0636220332393571,0.4058989033379278,0.0255463084630997,0.7466140457674129,0.0243892427358037,0.8425893837163991,0.0162572778012764
log,MACCSFP,0.9421684133867126,0.0042076804310648,0.9421684133867126,0.0042076804310648,0.9291456718294168,0.0303059210467703,0.8644082936471431,0.0082945969892017,0.1174603174603174,0.0141972569999986,0.204213378975895,0.0162703176530726,0.6267428092624061,0.0191807284256203,0.8282900799854558,0.0110289733601033
rf,Property,0.9971957594914544,0.0006581443117679,0.9971957594914544,0.0006581443117679,0.8923191464853216,0.0225359056624647,0.862453424938523,0.0050314832095366,0.1111111111111111,0.0,0.3884049468844141,0.0200472375865699,0.7334042242581109,0.0111023930788449,0.838457767289041,0.0060387833884992
fcnn,Estate,0.908537064188572,0.011420379350128,0.908537064188572,0.011420379350128,0.8799568692067352,0.0142449018755284,0.8622270843005829,0.0031261261149612,0.1111111111111111,0.0,0.3733840389997291,0.0135927467723745,0.7350892047004247,0.0042730908401669,0.8395508130220429,0.0034687418850191
xgb,Charge,0.9930047956113054,0.0018585447621779,0.9930047956113054,0.0018585447621779,0.9083337698405992,0.0125933663748554,0.8619621261765162,0.0033308592281924,0.0285714285714285,0.0638876564999939,0.3721846657473738,0.0119009886521036,0.7205361305361306,0.0050591343409871,0.8353039993733251,0.0035667177581952
xgb,RDkitFP,0.9932836072456728,0.0010461251141046,0.9932836072456728,0.0010461251141046,0.9273510624904058,0.0147551835893126,0.8616707987393653,0.0048042671942405,0.0222222222222222,0.0496903994999953,0.3705989110707803,0.004869839515426,0.7255564848246446,0.0074088994790091,0.8372363271949947,0.0061080933422444
log,Matrix,0.9183434581464434,0.0041799794034943,0.9183434581464434,0.0041799794034943,0.9182734577033642,0.0146585620012222,0.8616368076368076,0.0067000811154947,0.0,0.0,0.3133700017761276,0.02875042297273,0.6576893971076594,0.0320127942636621,0.832758778519978,0.0094556066180124
log,Constitution,0.9360156331566782,0.0033972796974413,0.9360156331566782,0.0033972796974413,0.927743040764676,0.0241859997622916,0.8614622616209632,0.003175661138321,0.0666666666666666,0.0608580619450184,0.2152029914529914,0.074420269430569,0.6258541629994719,0.0226135651655759,0.8270933704030952,0.0052102397689302
svm,Estate,0.8830442120877627,0.0025111835795213,0.8830442120877627,0.0025111835795213,0.8712926978658565,0.0159308032302554,0.8612095596514757,0.0027992449728756,0.2436363636363636,0.0398343678185575,0.402843315184513,0.0106157240676835,0.7324705866730407,0.0061668602337535,0.837902373419811,0.0032914685608337
svm,PharmacoErGFP,0.8946316864240431,0.0057662616163791,0.8946316864240431,0.0057662616163791,0.8751104089962431,0.0155286876320815,0.8607797997756428,0.0012533525111879,0.1066666666666666,0.0709720863229836,0.3777343903410589,0.0135910088827676,0.717854547537463,0.0022656818603471,0.8368229693343647,0.0015732613483062
log,Topology,0.9182044849347324,0.0027885960690237,0.9182044849347324,0.0027885960690237,0.917512132770942,0.0175713546293048,0.8602688986020706,0.0028263937323285,0.1111111111111111,0.0,0.2854980791566157,0.0170271691548053,0.6450015016606601,0.0158067893757399,0.8286101554084494,0.0029118682180793
log,AvalonFP,0.9924318128816656,0.0008653977695329,0.9924318128816656,0.0008653977695329,0.9468455407224288,0.0249474142434371,0.8602184168652769,0.0079736576319165,0.2581818181818182,0.0325246251272696,0.3013769720654219,0.0173310251619119,0.6516547165372854,0.0104315045335924,0.8283437120057806,0.0087417841659775
xgb,Property,0.9875121939751532,0.0018608342015563,0.9875121939751532,0.0018608342015563,0.8925224291048892,0.0148591182872153,0.8600901581347508,0.0043955528756535,0.1352380952380952,0.0387249541129572,0.3374892902897592,0.0356194467932991,0.7252850201968423,0.0106049848988001,0.8361510137731987,0.0044883743615961
svm,PubChemFP,0.9192304680394002,0.004074538425005,0.9192304680394002,0.004074538425005,0.9010274157819168,0.0205869700546748,0.859565017087626,0.0079899375837399,0.0,0.0,0.3001222538836289,0.0186152084511314,0.6678417620278085,0.0248396955657704,0.8309472328347015,0.0103721376746268
DMPNN,MorganFP,0.9905302434314034,0.004977993653694,0.9905302434314034,0.004977993653694,0.9144217573028574,0.0192312787727061,0.8594890865513054,0.002433021749238,0.1694444444444444,0.0581198326906489,0.3935300839027547,0.0215504361259512,0.740730057235582,0.0089136435229474,0.8349521091440713,0.0037867850225073
svm,MOE,0.8825968388082821,0.0048535875862609,0.8825968388082821,0.0048535875862609,0.8706997834228497,0.0144149524931648,0.8591646951637466,0.0071682684019163,0.1301587301587301,0.0173880176985766,0.4496044129235618,0.0218659654779985,0.743542475215391,0.0112843880624881,0.8377180740857201,0.0083355453578258
xgb,Matrix,0.9937038648438176,0.0014041433260613,0.9937038648438176,0.0014041433260613,0.898300633164253,0.0110844545879519,0.859162106255814,0.019355653103883,0.1294444444444444,0.0404259725827253,0.4044230279524397,0.0682104693230312,0.7332127358775564,0.0396306546570494,0.8350995103010483,0.0229136073850131
rf,Connectivity,0.9984213963454652,0.0005256093048833,0.9984213963454652,0.0005256093048833,0.8926935649572337,0.0180533589722218,0.8591564705065782,0.0038075012807571,0.2145454545454545,0.0325246251272696,0.3953992596509782,0.0043751726688256,0.7407101332122649,0.0022678627683327,0.8357268088351175,0.0037054339023031
rf,InfoContent,0.9983210934976986,0.000701454356989,0.9983210934976986,0.000701454356989,0.8719147566787087,0.0113277590360647,0.8583813662146996,0.0051996352379273,0.2271428571428571,0.0392532333258116,0.4128391857919065,0.0157104080985737,0.7519018805231475,0.0090078660727392,0.8356289511030834,0.0055269043912869
