model,feat,train_SE,train_SE_std,val_SE,val_SE_std,test_SE,test_SE_std,ext_SE,ext_SE_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
fcnn,AvalonFP,0.9866810747855654,0.0020741779208764,0.9866810747855654,0.0020741779208764,0.953117576366975,0.015091715786336,0.9450424929178473,0.0185330620212986,1.0,0.0,0.8720000000000001,0.0438178046004133,0.8746666666666666,0.0427914840956832,0.9335640138408304,0.0233916176901807
rf,Matrix,0.987332236218293,0.0022745766435171,0.987332236218293,0.0022745766435171,0.92994089295858,0.0133470914164426,0.943342776203966,0.0163963695506943,0.3333333333333333,0.0,0.8560000000000001,0.0357770876399966,0.892,0.040661201818605,0.9370242214532872,0.0211044300096565
svm,PharmacoPFP,0.9752124719166776,0.0020312640725,0.9752124719166776,0.0020312640725,0.9657488337706548,0.0063128305605981,0.9427762039660056,0.0275676841375702,0.0666666666666666,0.1490711984999859,0.8160000000000001,0.0456070170039655,0.8906666666666666,0.0384707681233426,0.9321799307958478,0.0295235003566803
fcnn,InfoContent,0.9504300782161832,0.0051598020342345,0.9504300782161832,0.0051598020342345,0.9418916284656108,0.0095664727626873,0.9422096317280454,0.0062064879037412,0.6666666666666666,0.0,0.8960000000000001,0.0357770876399966,0.8706666666666667,0.0146059348668044,0.9294117647058824,0.0075809350519745
xgb,MorganFP,0.9915834211043664,0.0012136436571536,0.9915834211043664,0.0012136436571536,0.9501134981128208,0.0125467564608363,0.9422096317280452,0.0157217415586533,0.6666666666666666,0.0,0.8800000000000001,0.04,0.8746666666666666,0.0276485884711036,0.9307958477508652,0.0176436661369992
DMPNN,Charge,0.9849177326189068,0.0039857285976333,0.9849177326189068,0.0039857285976333,0.9471303202596694,0.0093448149840829,0.9422096317280452,0.0394164920814188,0.5333333333333333,0.172132593164774,0.8800000000000001,0.0377123616632825,0.868,0.0897073431075038,0.9294117647058824,0.0481454038226328
fcnn,Constitution,0.9621718747276292,0.0043626656775165,0.9621718747276292,0.0043626656775165,0.9485728700322688,0.0109365887694278,0.9410764872521248,0.0205650894196957,0.3333333333333333,0.0,0.8240000000000001,0.0456070170039654,0.868,0.0433076847170978,0.9287197231833908,0.024418378912633
svm,RDkitFP,0.9987050210225688,0.0003882456873088,0.9987050210225688,0.0003882456873088,0.9486118017411508,0.0112562140134934,0.939943342776204,0.0114020463441916,0.2666666666666666,0.1490711984999859,0.752,0.1480540441865739,0.8866666666666667,0.0323178657161088,0.9307958477508652,0.0124759559704636
DMPNN,Constitution,0.9883450857598308,0.0068771355323727,0.9883450857598308,0.0068771355323727,0.9478404522211992,0.0095083966614983,0.939943342776204,0.0268017880636174,0.4666666666666666,0.172132593164774,0.784,0.1018931902642282,0.8613333333333333,0.0608418309640804,0.9266435986159168,0.032737132133069
xgb,MACCSFP,0.9876064019373856,0.00167268293261,0.9876064019373856,0.00167268293261,0.941927490500812,0.0110238845010241,0.939943342776204,0.0134970303111292,0.3333333333333333,0.0,0.808,0.0593295878967653,0.9013333333333332,0.0392711372667283,0.9307958477508652,0.0184724537232374
