model,feat,train_MCC,train_MCC_std,val_MCC,val_MCC_std,test_MCC,test_MCC_std,ext_MCC,ext_MCC_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
xgb,Estate,0.9182278385627078,0.0075271459961684,0.9182278385627078,0.0075271459961684,0.6583532197473371,0.0316424143115674,0.3901736070600508,0.0212859954438806,-0.350157580091626,0.3200952859764985,-0.1261429165319687,0.0898003348698616,0.2368766440466908,0.0331301130009206,0.3764102666217656,0.0243761163944156
DMPNN,RDkitFP,0.954831516347347,0.0209312322650559,0.954831516347347,0.0209312322650559,0.7236998791312714,0.0468287341569761,0.3873790242024573,0.037169762205467,-0.816496580927726,0.0,-0.1977610768834825,0.0534348582028511,0.2032586713009792,0.0603198585948312,0.3671443829533269,0.0434072418000966
log,Charge,0.4277020812710718,0.0142070473342952,0.4277020812710718,0.0142070473342952,0.4455086749106757,0.0365623704967624,0.3863963723961955,0.0289628614957065,-0.3642566739615199,0.0691466917360064,0.3073167605618828,0.056633984414693,0.240047745804633,0.0326708800949484,0.3671850379522395,0.0245700090891929
DMPNN,MorganFP,0.9675975467885096,0.0152032163725638,0.9675975467885096,0.0152032163725638,0.67413318599611,0.0619170652753413,0.3848847811712723,0.0337502048362746,-0.26717119650054,0.1858574350975588,-0.0209834550316017,0.0881533568067256,0.2792192435336284,0.0497850977689805,0.3728414804911628,0.0384504669391775
rf,Property,0.9632192097320552,0.0033870878071294,0.9632192097320552,0.0033870878071294,0.5668632176950001,0.0715279591671416,0.3848438393374972,0.0389456670207766,-0.5555555555555556,0.0,-0.035330265405928,0.0852454041554905,0.225603230957682,0.0539821005075279,0.3712592411068574,0.0438750653111085
fcnn,Estate,0.6674393153221769,0.050295540362913,0.6674393153221769,0.050295540362913,0.5606964883167447,0.0708488543855011,0.375252627898137,0.0173247182488525,-0.5555555555555556,0.0,-0.1327380661324593,0.0760455433350151,0.2201497318357173,0.0112820594134073,0.3612954820616284,0.0188842708981146
log,Connectivity,0.4862471050401146,0.006786282336904,0.4862471050401146,0.006786282336904,0.498026569301761,0.0550890631505506,0.3737378609088794,0.0178884563765945,-0.408248290463863,0.0,0.0408578977636262,0.0185967865853045,0.150034950040129,0.0314846386368653,0.3432670288765814,0.0162806178813295
xgb,Topology,0.9217624626420292,0.004651785741183,0.9217624626420292,0.004651785741183,0.5770479174284023,0.019221874506464,0.3701668703897683,0.0555532098259896,-0.298287371482441,0.240475412600206,0.1367401916349573,0.1254785448727242,0.2102539619796312,0.0616851364525876,0.3485291109831926,0.055807108512401
fcnn,Autocorr,0.7986445270120299,0.0889649834086821,0.7986445270120299,0.0889649834086821,0.6417421161754105,0.0957499024308634,0.3666761013177559,0.0971667640037616,0.0179912844328469,0.2544541358616237,-0.0317784917094965,0.1764052354563322,0.2435485775156508,0.1033904482188088,0.343275927948013,0.0979699866596165
xgb,RDkitFP,0.980081467439488,0.0023221847371745,0.980081467439488,0.0023221847371745,0.7275480572072119,0.0409665739673083,0.3663576218258997,0.0210745585517321,-0.7643083758532919,0.1166963741701341,-0.1675443775595988,0.0254978627130195,0.1842032720500822,0.0325500343816014,0.350283417616914,0.0271171410120599
