model,feat,train_p_stat,train_p_stat_std,val_p_stat,val_p_stat_std,test_p_stat,test_p_stat_std,ext_p_stat,ext_p_stat_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
rf,AtomPairFP,0.0,0.0,0.0,0.0,1.3483834496340269e-59,3.0150707505761843e-59,1.8909775626770764e-39,4.152750930135615e-39,0.050176795074443906,0.019823078749329183,0.02300958967646384,0.017937002113334915,9.33466195457161e-11,9.660492183122589e-11,4.5693946563460804e-33,7.950228249225556e-33
rf,Autocorr,0.0,0.0,0.0,0.0,5.3465125782664155e-48,9.009188337921776e-48,2.892862153240165e-56,6.435758333526086e-56,0.06879748896723435,0.05950466152610581,4.09857656506498e-07,6.901798334645356e-07,2.0827521363949787e-24,3.7111652710111245e-24,1.0053370114670919e-48,2.0515050703132764e-48
rf,AvalonFP,0.0,0.0,0.0,0.0,6.909596795116475e-59,1.5415110476683555e-58,1.8803703054991642e-22,2.515601640872699e-22,0.011385480144729562,0.0049287834229163,0.0152751632078615,0.015060267311883587,0.029959815956543477,0.01886685038160058,5.940175280528536e-17,9.842793479795567e-17
rf,Charge,0.0,0.0,0.0,0.0,9.981616291185469e-47,2.224320159889724e-46,8.833544339306998e-24,6.621963817059281e-24,0.0059198673336045,0.0037014507186736286,0.5073745862890212,0.10684202064997614,0.00033389363857346004,0.00011031754399725251,5.719029840667534e-18,3.877883101338244e-18
rf,Connectivity,0.0,0.0,0.0,0.0,2.3890636515826815e-45,5.341539481452738e-45,3.381178583940175e-33,7.368839216776781e-33,0.11683064978074024,0.03042439012072768,0.27446794851413464,0.2460234176375768,2.9358337579150605e-07,5.941617192945602e-07,5.363374914649049e-26,1.1775047074494924e-25
rf,Constitution,0.0,0.0,0.0,0.0,6.515886555224278e-46,1.456996485694947e-45,8.80665369735968e-28,9.803795540512526e-28,0.01374660555434062,0.005230203985249462,0.03980812212637484,0.026258594060456143,0.0006664329561279054,0.0008444469324224622,1.730273666150877e-21,2.10825760681516e-21
rf,Estate,0.0,0.0,0.0,0.0,1.5448172724315602e-51,3.4543149802277414e-51,3.3100841148121526e-21,6.178498751752997e-21,0.09935267706296844,0.048393299784968244,0.19601540490171449,0.10697284639561883,0.01478136908529134,0.015549952103002479,4.516288258193633e-16,8.88470431263465e-16
rf,EstateFP,0.0,0.0,0.0,0.0,1.9806620367010375e-21,4.416818856192921e-21,0.0017764870840061141,0.001593481028265912,0.08477020315286686,0.023961992564251168,0.010507966359335739,0.012079491727357481,0.10996096118520052,0.1090844028503508,0.059216990772293275,0.050162215278693224
rf,Fragment,0.0,0.0,0.0,0.0,3.735730954484296e-33,8.353347459671748e-33,0.00011841006447314446,0.00022335607014121024,0.1488399542814745,0.041839559562084835,0.00047007428298510005,0.00041938877858537546,0.0474604000971605,0.043429157757460896,0.00670345180546804,0.011078748635745424
rf,InfoContent,0.0,0.0,0.0,0.0,9.937328246443082e-34,1.5483817026535862e-33,5.645268168212523e-35,5.502550942875271e-35,0.40585635536531794,0.15577298262334943,0.7576702340074458,0.13805367920258954,1.4474256190710646e-10,1.3972886214437773e-10,2.460789157470511e-29,3.355002638796753e-29
