smiles,active,,,,,,,,
OC(=O)C[C@@H]1COc2c1ccc(c2)O[C@@H]1CCc2c1c(F)ccc2Oc1ccc(cc1)n1cncc1,1,-4,22,9,4,22,9,4,5
OC(=O)C[C@@H]1COc2c1ccc(c2)O[C@@H]1CCc2c1c(F)ccc2Oc1ccc(cc1)N1CCCC1=O,1,-4,23,9,4,23,9,4,5
OC(=O)C[C@@H]1COc2c1ccc(c2)O[C@@H]1CCc2c1c(F)ccc2Oc1ccc(cc1)CN1CCOCC1,1,-3,24,10,5,24,10,5,6
OC(=O)C[C@@H]1COc2c1ccc(c2)O[C@@H]1CCc2c1c(F)ccc2Oc1ccc(cc1)CN1CCCC1,1,-3,23,10,5,23,10,5,6
OC(=O)C[C@@H]1COc2c1ccc(c2)O[C@@H]1CCc2c1c(F)ccc2Oc1ccc(cc1)CCCC(O)(C)C,1,-3,26,10,5,26,10,6,7
OC(=O)C[C@@H]1COc2c1ccc(c2)O[C@@H]1CCc2c1c(F)ccc2Oc1ccc(cc1)CC1CCOCC1,1,-3,24,10,5,24,10,5,6
OC(=O)C[C@@H]1COc2c1ccc(c2)O[C@@H]1CCc2c1c(F)ccc2Oc1ccc(cc1)c1nnn[nH]1,1,-4,22,8,4,22,8,4,5
OC(=O)C[C@@H]1COc2c1ccc(c2)O[C@@H]1CCc2c1c(F)ccc2Oc1ccc(cc1)c1nnn(n1)C,1,-4,22,9,4,22,9,4,5
OC(=O)C[C@@H]1COc2c1ccc(c2)O[C@@H]1CCc2c1c(F)ccc2Oc1ccc(cc1)c1nccn1C,1,-4,23,9,4,23,9,4,5
OC(=O)C[C@@H]1COc2c1ccc(c2)O[C@@H]1CCc2c1c(F)ccc2Oc1ccc(cc1)c1csc(n1)C,1,-3,23,9,4,23,9,4,6
OC(=O)C[C@@H]1COc2c1ccc(c2)O[C@@H]1CCc2c1c(F)ccc2Oc1ccc(cc1)c1cnc(s1)C,1,-3,23,9,4,23,9,4,6
OC(=O)C[C@@H]1COc2c1ccc(c2)O[C@@H]1CCc2c1c(F)ccc2Oc1ccc(cc1)C(=O)N1CCCC1,1,-4,24,10,4,24,10,4,6
OC(=O)C[C@@H]1COc2c1ccc(c2)O[C@@H]1CCc2c1c(F)ccc2Oc1ccc(cc1)C(=O)N(C)C,1,-4,23,9,4,23,9,4,6
OC(=O)C[C@@H]1COc2c1ccc(c2)O[C@@H]1CCc2c1c(F)ccc2Oc1ccc(c(c1)F)OCC1(O)CCOCC1,1,-3,27,11,5,27,11,5,7
OC(=O)C[C@@H]1COc2c1ccc(c2)O[C@@H]1CCc2c1c(F)ccc2Oc1cc(OCCC(O)(C)C)ccc1F,1,-3,26,10,6,26,10,6,7
OC(=O)C[C@@H]1COc2c1ccc(c2)O[C@@H]1CCc2c1c(F)ccc2Oc1cc(F)c(cc1F)OCCCS(=O)(=O)C,1,-3,28,11,6,28,11,6,8
OC(=O)C[C@@H]1COc2c1ccc(c2)O[C@@H]1CCc2c1c(F)ccc2Oc1cc(F)c(c(c1)F)c1cnn(c1)CC(O)(C)C,1,-4,28,10,5,28,10,5,7
OC(=O)C[C@@H]1COc2c1ccc(c2)O[C@@H]1CCc2c1c(F)ccc2Oc1cc(ccc1F)OC1CCOCC1,1,-3,25,10,5,25,10,5,6
OC(=O)C[C@@H]1COc2c1ccc(c2)O[C@@H]1CCc2c1c(F)ccc2Oc1c(F)cc(cc1F)c1cnn(c1)CC(O)(C)C,1,-4,28,10,5,28,10,5,7
OC(=O)C(c1ccc(cc1)NCc1ccc(cc1)c1ccccc1)C,0,-3,16,7,4,16,7,4,5
